t,task_idx,task_name,event_type,total_slots,completed,duration_s,misplacements,correct_placements,error_rate,action,response_latency_s,target,kind,snapped,from_mode,to_mode,commit_latency_s,subaction,expected,actual,source,correct,pasted
0.043,0,Gate,task_start,14,,,,,,,,,,,,,,,,,,,
11.179,0,Gate,task_end,,False,11.136,0,0,0.0,,,,,,,,,,,,,,
11.179,4,Cleanup,task_start,10,,,,,,,,,,,,,,,,,,,
14.236,4,Cleanup,action,,,,,,,drag,0.683,D,green,False,,,,,,,,,
14.778,4,Cleanup,mode_change,,,,,,,,,,,,open,X,0.996,,,,,,
16.399,4,Cleanup,action,,,,,,,X,0.0,c,red,,,,,,,,,,
17.738,4,Cleanup,action,,,,,,,X,0.0,i,red,,,,,,,,,,
17.956,4,Cleanup,mode_change,,,,,,,,,,,,X,Z,1.005,,,,,,
26.394,4,Cleanup,mode_change,,,,,,,,,,,,Z,C,0.985,,,,,,
28.128,4,Cleanup,action,,,,,,,C,0.0,,,,,,,empty_clipboard,,,,,
30.53,4,Cleanup,action,,,,,,,C,0.0,D,green,,,,,copy,,,,,
32.612,4,Cleanup,placement,,,,,,,,,,,,,,,,green,green,paste,True,
32.612,4,Cleanup,action,,,,,,,C,0.0,,green,True,,,,paste,,,,,D'
37.074,4,Cleanup,action,,,,,,,C,0.0,E,yellow,,,,,copy,,,,,
38.704,4,Cleanup,placement,,,,,,,,,,,,,,,,yellow,yellow,paste,True,
38.704,4,Cleanup,action,,,,,,,C,0.0,,yellow,True,,,,paste,,,,,E'
40.588,4,Cleanup,mode_change,,,,,,,,,,,,C,X,1.015,,,,,,
41.129,4,Cleanup,action,,,,,,,X,0.0,f,purple,,,,,,,,,,
44.91,4,Cleanup,task_end,,False,33.731,0,2,0.0,,,,,,,,,,,,,,
