t,task_idx,task_name,event_type,total_slots,action,response_latency_s,target,kind,snapped,from_mode,to_mode,commit_latency_s,subaction,expected,actual,source,correct,pasted,completed,duration_s,misplacements,correct_placements,error_rate
0.042,0,Gate,task_start,14,,,,,,,,,,,,,,,,,,,
8.653,0,Gate,action,,drag,0.257,K,green,False,,,,,,,,,,,,,,
38.506,0,Gate,action,,drag,0.258,C,green,False,,,,,,,,,,,,,,
42.146,0,Gate,mode_change,,,,,,,open,C,1.119,,,,,,,,,,,
42.65,0,Gate,action,,C,0.0,J,grey,,,,,copy,,,,,,,,,,
45.163,0,Gate,action,,C,0.0,G,grey,,,,,copy,,,,,,,,,,
46.677,0,Gate,action,,C,0.0,J,grey,,,,,copy,,,,,,,,,,
48.923,0,Gate,action,,C,0.0,J,grey,,,,,copy,,,,,,,,,,
50.084,0,Gate,action,,C,0.0,G,grey,,,,,copy,,,,,,,,,,
52.753,0,Gate,action,,C,0.0,J,grey,,,,,copy,,,,,,,,,,
53.513,0,Gate,action,,C,0.0,J,grey,,,,,copy,,,,,,,,,,
54.412,0,Gate,action,,C,0.0,G,grey,,,,,copy,,,,,,,,,,
57.425,0,Gate,placement,,,,,,,,,,,grey,grey,paste,True,,,,,,
57.425,0,Gate,action,,C,0.0,,grey,True,,,,paste,,,,,G',,,,,
60.386,0,Gate,placement,,,,,,,,,,,grey,grey,paste,True,,,,,,
60.386,0,Gate,action,,C,0.0,,grey,True,,,,paste,,,,,G',,,,,
62.325,0,Gate,placement,,,,,,,,,,,grey,grey,paste,True,,,,,,
62.325,0,Gate,action,,C,0.0,,grey,True,,,,paste,,,,,G',,,,,
64.604,0,Gate,placement,,,,,,,,,,,grey,grey,paste,True,,,,,,
64.604,0,Gate,action,,C,0.0,,grey,True,,,,paste,,,,,G',,,,,
68.956,0,Gate,placement,,,,,,,,,,,green,grey,paste,False,,,,,,
68.956,0,Gate,action,,C,0.0,,grey,True,,,,paste,,,,,G',,,,,
69.898,0,Gate,placement,,,,,,,,,,,grey,grey,paste,True,,,,,,
69.898,0,Gate,action,,C,0.0,,grey,True,,,,paste,,,,,G',,,,,
70.83,0,Gate,placement,,,,,,,,,,,grey,grey,paste,True,,,,,,
70.83,0,Gate,action,,C,0.0,,grey,True,,,,paste,,,,,G',,,,,
73.625,0,Gate,mode_change,,,,,,,C,X,1.174,,,,,,,,,,,
74.156,0,Gate,action,,X,0.0,G',grey,,,,,,,,,,,,,,,
77.415,0,Gate,mode_change,,,,,,,X,C,1.195,,,,,,,,,,,
79.105,0,Gate,action,,C,0.0,G,grey,,,,,copy,,,,,,,,,,
80.011,0,Gate,action,,C,0.0,G,grey,,,,,copy,,,,,,,,,,
81.333,0,Gate,action,,C,0.0,D,green,,,,,copy,,,,,,,,,,
81.727,0,Gate,action,,C,0.0,D,green,,,,,copy,,,,,,,,,,
82.494,0,Gate,action,,C,0.0,D,green,,,,,copy,,,,,,,,,,
85.945,0,Gate,placement,,,,,,,,,,,green,green,paste,True,,,,,,
85.945,0,Gate,action,,C,0.0,,green,True,,,,paste,,,,,D',,,,,
86.833,0,Gate,placement,,,,,,,,,,,green,green,paste,True,,,,,,
86.834,0,Gate,action,,C,0.0,,green,True,,,,paste,,,,,D',,,,,
89.183,0,Gate,placement,,,,,,,,,,,green,green,paste,True,,,,,,
89.183,0,Gate,action,,C,0.0,,green,True,,,,paste,,,,,D',,,,,
93.001,0,Gate,action,,C,0.0,,green,False,,,,paste,,,,,D',,,,,
93.401,0,Gate,action,,C,0.0,D',green,,,,,copy,,,,,,,,,,
93.935,0,Gate,action,,C,0.0,D',green,,,,,copy,,,,,,,,,,
95.487,0,Gate,placement,,,,,,,,,,,grey,green,paste,False,,,,,,
95.487,0,Gate,action,,C,0.0,,green,True,,,,paste,,,,,D'',,,,,
96.289,0,Gate,action,,C,0.0,,green,False,,,,paste,,,,,D'',,,,,
99.762,0,Gate,task_end,,,,,,,,,,,,,,,,False,99.72,2,9,0.182
