t,task_idx,task_name,event_type,total_slots,action,response_latency_s,target,kind,snapped,from_mode,to_mode,commit_latency_s,subaction,pasted,expected,actual,source,correct,completed,duration_s,misplacements,correct_placements,error_rate
0.048,0,Gate,task_start,14,,,,,,,,,,,,,,,,,,,
14.971,0,Gate,action,,drag,2.432,G,yellow,False,,,,,,,,,,,,,,
20.243,0,Gate,action,,drag,1.008,H,yellow,False,,,,,,,,,,,,,,
22.428,0,Gate,mode_change,,,,,,,open,C,1.143,,,,,,,,,,,
23.585,0,Gate,action,,C,0.0,H,yellow,,,,,copy,,,,,,,,,,
29.511,0,Gate,action,,C,0.0,E,green,,,,,copy,,,,,,,,,,
38.751,0,Gate,action,,C,0.0,D,yellow,,,,,copy,,,,,,,,,,
40.961,0,Gate,action,,C,0.0,,yellow,False,,,,paste,D',,,,,,,,,
45.852,0,Gate,placement,,,,,,,,,,,,yellow,yellow,paste,True,,,,,
45.852,0,Gate,action,,C,0.0,,yellow,True,,,,paste,D',,,,,,,,,
47.97,0,Gate,action,,C,0.0,D',yellow,,,,,copy,,,,,,,,,,
49.154,0,Gate,action,,C,0.0,D',yellow,,,,,copy,,,,,,,,,,
50.215,0,Gate,action,,C,0.0,D',yellow,,,,,copy,,,,,,,,,,
55.664,0,Gate,action,,C,0.0,,yellow,False,,,,paste,D'',,,,,,,,,
57.781,0,Gate,action,,C,0.0,,yellow,False,,,,paste,D'',,,,,,,,,
59.771,0,Gate,task_end,,,,,,,,,,,,,,,,False,59.723,0,1,0.0
