t,task_idx,task_name,event_type,total_slots,from_mode,to_mode,commit_latency_s,action,response_latency_s,subaction,target,kind,completed,duration_s,misplacements,correct_placements,error_rate
0.047,0,Gate,task_start,14,,,,,,,,,,,,,
14.346,0,Gate,mode_change,,open,C,1.135,,,,,,,,,,
15.968,0,Gate,action,,,,,C,0.0,copy,B,blue,,,,,
17.093,0,Gate,action,,,,,C,0.0,copy,A,grey,,,,,
18.543,0,Gate,action,,,,,C,0.0,copy,A,grey,,,,,
19.476,0,Gate,action,,,,,C,0.0,copy,A,grey,,,,,
20.426,0,Gate,action,,,,,C,0.0,copy,A,grey,,,,,
25.111,0,Gate,action,,,,,C,0.0,copy,A,grey,,,,,
27.533,0,Gate,action,,,,,C,0.0,copy,D,yellow,,,,,
29.518,0,Gate,action,,,,,C,0.0,copy,D,yellow,,,,,
31.809,0,Gate,action,,,,,C,0.0,copy,E,blue,,,,,
33.534,0,Gate,action,,,,,C,0.0,copy,E,blue,,,,,
37.213,0,Gate,task_end,,,,,,,,,,False,37.166,0,0,0.0
