t,task_idx,task_name,event_type,total_slots,action,response_latency_s,target,kind,snapped,from_mode,to_mode,commit_latency_s,subaction,expected,actual,source,correct,pasted,count,completed,duration_s,misplacements,correct_placements,error_rate
0.043,0,Gate,task_start,14,,,,,,,,,,,,,,,,,,,,
6.163,0,Gate,action,,drag,1.275,K,grey,False,,,,,,,,,,,,,,,
9.178,0,Gate,action,,drag,1.581,K,grey,False,,,,,,,,,,,,,,,
11.507,0,Gate,action,,drag,0.878,K,grey,False,,,,,,,,,,,,,,,
18.21,0,Gate,action,,drag,1.318,H,green,False,,,,,,,,,,,,,,,
20.646,0,Gate,mode_change,,,,,,,open,C,1.279,,,,,,,,,,,,
22.979,0,Gate,action,,C,0.0,H,green,,,,,copy,,,,,,,,,,,
25.563,0,Gate,action,,C,0.0,H,green,,,,,copy,,,,,,,,,,,
29.211,0,Gate,action,,C,0.0,E,green,,,,,copy,,,,,,,,,,,
31.552,0,Gate,action,,C,0.0,E,green,,,,,copy,,,,,,,,,,,
33.533,0,Gate,action,,C,0.0,E,green,,,,,copy,,,,,,,,,,,
37.59,0,Gate,action,,C,0.0,E,green,,,,,copy,,,,,,,,,,,
43.018,0,Gate,action,,C,0.0,O,yellow,,,,,copy,,,,,,,,,,,
45.67,0,Gate,placement,,,,,,,,,,,yellow,yellow,paste,True,,,,,,,
45.67,0,Gate,action,,C,0.0,,yellow,True,,,,paste,,,,,O',,,,,,
49.969,0,Gate,placement,,,,,,,,,,,yellow,yellow,paste,True,,,,,,,
49.969,0,Gate,action,,C,0.0,,yellow,True,,,,paste,,,,,O',,,,,,
52.463,0,Gate,placement,,,,,,,,,,,yellow,yellow,paste,True,,,,,,,
52.463,0,Gate,action,,C,0.0,,yellow,True,,,,paste,,,,,O',,,,,,
74.632,0,Gate,action,,C,0.0,,yellow,False,,,,paste,,,,,O',,,,,,
92.782,0,Gate,placement,,,,,,,,,,,green,yellow,paste,False,,,,,,,
92.782,0,Gate,action,,C,0.0,,yellow,True,,,,paste,,,,,O',,,,,,
93.668,0,Gate,mode_change,,,,,,,C,X,1.166,,,,,,,,,,,,
98.15,0,Gate,action,,X,0.0,O',yellow,,,,,,,,,,,,,,,,
100.976,0,Gate,action,,X,0.0,O',yellow,,,,,,,,,,,,,,,,
112.062,0,Gate,mode_change,,,,,,,X,C,1.13,,,,,,,,,,,,
114.468,0,Gate,mode_change,,,,,,,C,F,1.133,,,,,,,,,,,,
116.881,0,Gate,mode_change,,,,,,,F,Z,1.147,,,,,,,,,,,,
119.81,0,Gate,mode_change,,,,,,,Z,X,1.15,,,,,,,,,,,,
128.429,0,Gate,action,,X,0.0,O',yellow,,,,,,,,,,,,,,,,
169.48,0,Gate,mode_change,,,,,,,X,C,1.135,,,,,,,,,,,,
171.801,0,Gate,action,,C,0.0,D,yellow,,,,,copy,,,,,,,,,,,
189.375,0,Gate,placement,,,,,,,,,,,yellow,yellow,paste,True,,,,,,,
189.375,0,Gate,action,,C,0.0,,yellow,True,,,,paste,,,,,D',,,,,,
209.394,0,Gate,placement,,,,,,,,,,,yellow,yellow,paste,True,,,,,,,
209.394,0,Gate,action,,C,0.0,,yellow,True,,,,paste,,,,,D',,,,,,
226.1,0,Gate,placement,,,,,,,,,,,yellow,yellow,paste,True,,,,,,,
226.1,0,Gate,action,,C,0.0,,yellow,True,,,,paste,,,,,D',,,,,,
235.265,0,Gate,placement,,,,,,,,,,,grey,yellow,paste,False,,,,,,,
235.265,0,Gate,action,,C,0.0,,yellow,True,,,,paste,,,,,D',,,,,,
239.6,0,Gate,placement,,,,,,,,,,,grey,yellow,paste,False,,,,,,,
239.6,0,Gate,action,,C,0.0,,yellow,True,,,,paste,,,,,D',,,,,,
242.022,0,Gate,placement,,,,,,,,,,,green,yellow,paste,False,,,,,,,
242.022,0,Gate,action,,C,0.0,,yellow,True,,,,paste,,,,,D',,,,,,
245.121,0,Gate,placement,,,,,,,,,,,green,yellow,paste,False,,,,,,,
245.121,0,Gate,action,,C,0.0,,yellow,True,,,,paste,,,,,D',,,,,,
250.659,0,Gate,mode_change,,,,,,,C,X,1.354,,,,,,,,,,,,
255.651,0,Gate,action,,X,0.0,D',yellow,,,,,,,,,,,,,,,,
259.848,0,Gate,action,,X,0.0,D',yellow,,,,,,,,,,,,,,,,
261.225,0,Gate,action,,X,0.0,D',yellow,,,,,,,,,,,,,,,,
262.919,0,Gate,action,,X,0.0,D',yellow,,,,,,,,,,,,,,,,
266.928,0,Gate,mode_change,,,,,,,X,Z,1.286,,,,,,,,,,,,
268.376,0,Gate,action,,Z,0.0,D',,,,,,,,,,,,,,,,,
282.567,0,Gate,action,,Z,0.0,D',,,,,,,,,,,,,,,,,
285.005,0,Gate,action,,Z,0.0,D',,,,,,,,,,,,,,,,,
286.278,0,Gate,action,,Z,0.0,D',,,,,,,,,,,,,,,,,
288.019,0,Gate,action,,Z,0.0,O',,,,,,,,,,,,,,,,,
291.386,0,Gate,action,,Z,0.0,O',,,,,,,,,,,,,,,,,
298.213,0,Gate,mode_change,,,,,,,Z,F,1.427,,,,,,,,,,,,
303.19,0,Gate,action,,F,0.0,,yellow,,,,,,,,,,,16,,,,,
309.718,0,Gate,action,,F,0.0,,yellow,,,,,,,,,,,16,,,,,
316.069,0,Gate,action,,F,0.0,,yellow,,,,,,,,,,,16,,,,,
320.788,0,Gate,action,,F,0.0,,yellow,,,,,,,,,,,16,,,,,
333.71,0,Gate,action,,F,0.0,,green,,,,,,,,,,,5,,,,,
341.669,0,Gate,action,,F,0.0,,yellow,,,,,,,,,,,16,,,,,
349.793,0,Gate,action,,F,0.0,,grey,,,,,,,,,,,6,,,,,
353.188,0,Gate,action,,F,0.0,,green,,,,,,,,,,,5,,,,,
364.078,0,Gate,action,,F,0.0,,grey,,,,,,,,,,,6,,,,,
398.19,0,Gate,mode_change,,,,,,,F,C,1.443,,,,,,,,,,,,
407.161,0,Gate,placement,,,,,,,,,,,green,yellow,paste,False,,,,,,,
407.161,0,Gate,action,,C,0.0,,yellow,True,,,,paste,,,,,D',,,,,,
413.587,0,Gate,action,,C,0.0,P,yellow,,,,,copy,,,,,,,,,,,
415.557,0,Gate,action,,C,0.0,M,green,,,,,copy,,,,,,,,,,,
417.851,0,Gate,placement,,,,,,,,,,,green,green,paste,True,,,,,,,
417.851,0,Gate,action,,C,0.0,,green,True,,,,paste,,,,,M',,,,,,
419.984,0,Gate,action,,C,0.0,D',yellow,,,,,copy,,,,,,,,,,,
420.959,0,Gate,action,,C,0.0,D',yellow,,,,,copy,,,,,,,,,,,
435.521,0,Gate,placement,,,,,,,,,,,green,yellow,paste,False,,,,,,,
435.521,0,Gate,action,,C,0.0,,yellow,True,,,,paste,,,,,D'',,,,,,
439.046,0,Gate,mode_change,,,,,,,C,X,1.478,,,,,,,,,,,,
443.626,0,Gate,action,,X,0.0,D',yellow,,,,,,,,,,,,,,,,
445.886,0,Gate,action,,X,0.0,D',yellow,,,,,,,,,,,,,,,,
450.194,0,Gate,action,,X,0.0,D'',yellow,,,,,,,,,,,,,,,,
457.153,0,Gate,task_end,,,,,,,,,,,,,,,,,False,457.11,7,7,0.5
457.153,4,Cleanup,task_start,10,,,,,,,,,,,,,,,,,,,,
466.825,4,Cleanup,action,,X,0.0,j,yellow,,,,,,,,,,,,,,,,
470.972,4,Cleanup,mode_change,,,,,,,X,Z,1.133,,,,,,,,,,,,
472.107,4,Cleanup,action,,Z,0.0,j,,,,,,,,,,,,,,,,,
475.622,4,Cleanup,mode_change,,,,,,,Z,X,1.139,,,,,,,,,,,,
476.884,4,Cleanup,action,,X,0.0,f,purple,,,,,,,,,,,,,,,,
479.529,4,Cleanup,action,,X,0.0,c,red,,,,,,,,,,,,,,,,
485.037,4,Cleanup,action,,X,0.0,i,red,,,,,,,,,,,,,,,,
490.088,4,Cleanup,mode_change,,,,,,,X,C,1.109,,,,,,,,,,,,
492.951,4,Cleanup,action,,C,0.0,D,blue,,,,,copy,,,,,,,,,,,
496.091,4,Cleanup,placement,,,,,,,,,,,blue,blue,paste,True,,,,,,,
496.091,4,Cleanup,action,,C,0.0,,blue,True,,,,paste,,,,,D',,,,,,
504.403,4,Cleanup,placement,,,,,,,,,,,green,blue,paste,False,,,,,,,
504.403,4,Cleanup,action,,C,0.0,,blue,True,,,,paste,,,,,D',,,,,,
511.338,4,Cleanup,mode_change,,,,,,,C,Z,1.126,,,,,,,,,,,,
513.109,4,Cleanup,action,,Z,0.0,i,,,,,,,,,,,,,,,,,
520.872,4,Cleanup,mode_change,,,,,,,Z,C,1.146,,,,,,,,,,,,
522.183,4,Cleanup,action,,C,0.0,A,green,,,,,copy,,,,,,,,,,,
529.36,4,Cleanup,placement,,,,,,,,,,,green,green,paste,True,,,,,,,
529.36,4,Cleanup,action,,C,0.0,,green,True,,,,paste,,,,,A',,,,,,
532.93,4,Cleanup,placement,,,,,,,,,,,green,green,paste,True,,,,,,,
532.93,4,Cleanup,action,,C,0.0,,green,True,,,,paste,,,,,A',,,,,,
538.556,4,Cleanup,mode_change,,,,,,,C,X,1.154,,,,,,,,,,,,
540.51,4,Cleanup,action,,X,0.0,i,red,,,,,,,,,,,,,,,,
552.695,4,Cleanup,mode_change,,,,,,,X,C,1.125,,,,,,,,,,,,
555.551,4,Cleanup,action,,C,0.0,J,yellow,,,,,copy,,,,,,,,,,,
560.923,4,Cleanup,placement,,,,,,,,,,,yellow,yellow,paste,True,,,,,,,
560.923,4,Cleanup,action,,C,0.0,,yellow,True,,,,paste,,,,,J',,,,,,
564.993,4,Cleanup,action,,C,0.0,j,yellow,,,,,copy,,,,,,,,,,,
566.306,4,Cleanup,action,,C,0.0,j,yellow,,,,,copy,,,,,,,,,,,
567.773,4,Cleanup,action,,C,0.0,j,yellow,,,,,copy,,,,,,,,,,,
574.915,4,Cleanup,task_end,,,,,,,,,,,,,,,,,False,117.762,1,4,0.2
574.915,4,Cleanup,task_start,10,,,,,,,,,,,,,,,,,,,,
588.788,4,Cleanup,mode_change,,,,,,,C,X,1.179,,,,,,,,,,,,
591.934,4,Cleanup,action,,X,0.0,i,red,,,,,,,,,,,,,,,,
593.884,4,Cleanup,action,,X,0.0,f,purple,,,,,,,,,,,,,,,,
595.776,4,Cleanup,action,,X,0.0,c,red,,,,,,,,,,,,,,,,
599.142,4,Cleanup,mode_change,,,,,,,X,C,1.127,,,,,,,,,,,,
601.027,4,Cleanup,action,,C,0.0,D,green,,,,,copy,,,,,,,,,,,
603.633,4,Cleanup,placement,,,,,,,,,,,green,green,paste,True,,,,,,,
603.633,4,Cleanup,action,,C,0.0,,green,True,,,,paste,,,,,D',,,,,,
607.092,4,Cleanup,action,,C,0.0,A,blue,,,,,copy,,,,,,,,,,,
610.195,4,Cleanup,placement,,,,,,,,,,,blue,blue,paste,True,,,,,,,
610.196,4,Cleanup,action,,C,0.0,,blue,True,,,,paste,,,,,A',,,,,,
613.959,4,Cleanup,placement,,,,,,,,,,,yellow,blue,paste,False,,,,,,,
613.959,4,Cleanup,action,,C,0.0,,blue,True,,,,paste,,,,,A',,,,,,
619.116,4,Cleanup,mode_change,,,,,,,C,Z,1.12,,,,,,,,,,,,
637.359,4,Cleanup,action,,Z,0.0,c,,,,,,,,,,,,,,,,,
638.945,4,Cleanup,action,,Z,0.0,f,,,,,,,,,,,,,,,,,
645.71,4,Cleanup,mode_change,,,,,,,Z,C,1.161,,,,,,,,,,,,
647.277,4,Cleanup,action,,C,0.0,H,yellow,,,,,copy,,,,,,,,,,,
649.985,4,Cleanup,placement,,,,,,,,,,,yellow,yellow,paste,True,,,,,,,
649.985,4,Cleanup,action,,C,0.0,,yellow,True,,,,paste,,,,,H',,,,,,
651.852,4,Cleanup,placement,,,,,,,,,,,yellow,yellow,paste,True,,,,,,,
651.852,4,Cleanup,action,,C,0.0,,yellow,True,,,,paste,,,,,H',,,,,,
651.852,4,Cleanup,task_end,,,,,,,,,,,,,,,,,True,76.937,1,4,0.2
654.452,5,Sunshine,task_start,9,,,,,,,,,,,,,,,,,,,,
659.088,5,Sunshine,action,,C,0.0,,,,,,,empty_clipboard,,,,,,,,,,,
664.887,5,Sunshine,action,,C,0.0,G,yellow,,,,,copy,,,,,,,,,,,
670.4,5,Sunshine,placement,,,,,,,,,,,yellow,yellow,paste,True,,,,,,,
670.4,5,Sunshine,action,,C,0.0,,yellow,True,,,,paste,,,,,G',,,,,,
672.121,5,Sunshine,placement,,,,,,,,,,,yellow,yellow,paste,True,,,,,,,
672.121,5,Sunshine,action,,C,0.0,,yellow,True,,,,paste,,,,,G',,,,,,
673.732,5,Sunshine,placement,,,,,,,,,,,yellow,yellow,paste,True,,,,,,,
673.732,5,Sunshine,action,,C,0.0,,yellow,True,,,,paste,,,,,G',,,,,,
675.101,5,Sunshine,placement,,,,,,,,,,,yellow,yellow,paste,True,,,,,,,
675.101,5,Sunshine,action,,C,0.0,,yellow,True,,,,paste,,,,,G',,,,,,
677.477,5,Sunshine,placement,,,,,,,,,,,yellow,yellow,paste,True,,,,,,,
677.477,5,Sunshine,action,,C,0.0,,yellow,True,,,,paste,,,,,G',,,,,,
679.665,5,Sunshine,placement,,,,,,,,,,,yellow,yellow,paste,True,,,,,,,
679.665,5,Sunshine,action,,C,0.0,,yellow,True,,,,paste,,,,,G',,,,,,
681.518,5,Sunshine,placement,,,,,,,,,,,yellow,yellow,paste,True,,,,,,,
681.518,5,Sunshine,action,,C,0.0,,yellow,True,,,,paste,,,,,G',,,,,,
685.142,5,Sunshine,placement,,,,,,,,,,,yellow,yellow,paste,True,,,,,,,
685.142,5,Sunshine,action,,C,0.0,,yellow,True,,,,paste,,,,,G',,,,,,
690.992,5,Sunshine,action,,C,0.0,J,red,,,,,copy,,,,,,,,,,,
694.56,5,Sunshine,placement,,,,,,,,,,,red,red,paste,True,,,,,,,
694.56,5,Sunshine,action,,C,0.0,,red,True,,,,paste,,,,,J',,,,,,
694.56,5,Sunshine,task_end,,,,,,,,,,,,,,,,,True,40.108,0,9,0.0
697.128,6,Gate,task_start,14,,,,,,,,,,,,,,,,,,,,
709.834,6,Gate,task_end,,,,,,,,,,,,,,,,,False,12.706,0,0,0.0
709.835,1,Goalpost,task_start,14,,,,,,,,,,,,,,,,,,,,
