t,task_idx,task_name,event_type,total_slots,from_mode,to_mode,commit_latency_s,action,response_latency_s,kind,count,completed,duration_s,misplacements,correct_placements,error_rate,target
0.043,0,Gate,task_start,14,,,,,,,,,,,,,
6.249,0,Gate,mode_change,,open,F,1.275,,,,,,,,,,
8.408,0,Gate,action,,,,,F,0.0,grey,4,,,,,,
11.608,0,Gate,action,,,,,F,0.0,grey,4,,,,,,
13.893,0,Gate,action,,,,,F,0.0,yellow,5,,,,,,
16.991,0,Gate,action,,,,,F,0.0,green,6,,,,,,
22.346,0,Gate,action,,,,,F,0.0,green,6,,,,,,
26.342,0,Gate,action,,,,,F,0.0,grey,4,,,,,,
29.931,0,Gate,mode_change,,F,X,1.254,,,,,,,,,,
37.092,0,Gate,task_end,,,,,,,,,False,37.049,0,0,0.0,
37.092,2,Find Yellow,task_start,9,,,,,,,,,,,,,
41.411,2,Find Yellow,action,,,,,X,0.0,yellow,,,,,,,a
42.203,2,Find Yellow,task_end,,,,,,,,,False,5.111,0,0,0.0,
42.203,3,Find Red,task_start,13,,,,,,,,,,,,,
42.703,3,Find Red,task_end,,,,,,,,,False,0.5,0,0,0.0,
42.704,3,Find Red,task_start,13,,,,,,,,,,,,,
43.701,3,Find Red,task_end,,,,,,,,,False,0.997,0,0,0.0,
43.701,3,Find Red,task_start,13,,,,,,,,,,,,,
44.444,3,Find Red,task_end,,,,,,,,,False,0.743,0,0,0.0,
44.444,3,Find Red,task_start,13,,,,,,,,,,,,,
45.685,3,Find Red,task_end,,,,,,,,,False,1.241,0,0,0.0,
45.685,3,Find Red,task_start,13,,,,,,,,,,,,,
46.564,3,Find Red,task_end,,,,,,,,,False,0.879,0,0,0.0,
46.564,3,Find Red,task_start,13,,,,,,,,,,,,,
49.713,3,Find Red,task_end,,,,,,,,,False,3.149,0,0,0.0,
49.713,2,Find Yellow,task_start,9,,,,,,,,,,,,,
56.155,2,Find Yellow,task_end,,,,,,,,,False,6.442,0,0,0.0,
