t,task_idx,task_name,event_type,total_slots,from_mode,to_mode,commit_latency_s,completed,duration_s,misplacements,correct_placements,error_rate,action,response_latency_s,kind,count
0.044,0,Gate,task_start,14,,,,,,,,,,,,
4.733,0,Gate,mode_change,,open,C,1.205,,,,,,,,,
11.686,0,Gate,task_end,,,,,False,11.642,0,0,0.0,,,,
11.686,2,Find Yellow,task_start,9,,,,,,,,,,,,
13.557,2,Find Yellow,task_end,,,,,False,1.871,0,0,0.0,,,,
13.558,3,Find Red,task_start,13,,,,,,,,,,,,
14.922,3,Find Red,task_end,,,,,False,1.364,0,0,0.0,,,,
14.922,2,Find Yellow,task_start,9,,,,,,,,,,,,
15.344,2,Find Yellow,task_end,,,,,False,0.422,0,0,0.0,,,,
15.344,3,Find Red,task_start,13,,,,,,,,,,,,
15.681,3,Find Red,task_end,,,,,False,0.337,0,0,0.0,,,,
15.681,4,Cleanup,task_start,10,,,,,,,,,,,,
16.457,4,Cleanup,task_end,,,,,False,0.776,0,0,0.0,,,,
16.458,5,Sunshine,task_start,9,,,,,,,,,,,,
17.268,5,Sunshine,task_end,,,,,False,0.81,0,0,0.0,,,,
17.268,2,Find Yellow,task_start,9,,,,,,,,,,,,
22.484,2,Find Yellow,task_end,,,,,False,5.216,0,0,0.0,,,,
22.484,3,Find Red,task_start,13,,,,,,,,,,,,
25.632,3,Find Red,task_end,,,,,False,3.148,0,0,0.0,,,,
25.632,2,Find Yellow,task_start,9,,,,,,,,,,,,
26.062,2,Find Yellow,task_end,,,,,False,0.43,0,0,0.0,,,,
26.063,3,Find Red,task_start,13,,,,,,,,,,,,
26.53,3,Find Red,task_end,,,,,False,0.467,0,0,0.0,,,,
26.53,2,Find Yellow,task_start,9,,,,,,,,,,,,
27.472,2,Find Yellow,task_end,,,,,False,0.942,0,0,0.0,,,,
27.472,3,Find Red,task_start,13,,,,,,,,,,,,
28.142,3,Find Red,task_end,,,,,False,0.67,0,0,0.0,,,,
28.143,2,Find Yellow,task_start,9,,,,,,,,,,,,
29.065,2,Find Yellow,task_end,,,,,False,0.922,0,0,0.0,,,,
29.065,3,Find Red,task_start,13,,,,,,,,,,,,
29.519,3,Find Red,task_end,,,,,False,0.454,0,0,0.0,,,,
29.519,2,Find Yellow,task_start,9,,,,,,,,,,,,
30.644,2,Find Yellow,task_end,,,,,False,1.125,0,0,0.0,,,,
30.644,2,Find Yellow,task_start,9,,,,,,,,,,,,
30.954,2,Find Yellow,task_end,,,,,False,0.31,0,0,0.0,,,,
30.954,3,Find Red,task_start,13,,,,,,,,,,,,
37.202,3,Find Red,task_end,,,,,False,6.248,0,0,0.0,,,,
37.203,2,Find Yellow,task_start,9,,,,,,,,,,,,
37.609,2,Find Yellow,task_end,,,,,False,0.406,0,0,0.0,,,,
37.609,3,Find Red,task_start,13,,,,,,,,,,,,
44.258,3,Find Red,mode_change,,C,F,1.047,,,,,,,,,
46.023,3,Find Red,action,,,,,,,,,,F,0.0,red,14
48.335,3,Find Red,action,,,,,,,,,,F,0.0,red,14
54.411,3,Find Red,task_end,,,,,False,16.802,0,0,0.0,,,,
54.411,2,Find Yellow,task_start,9,,,,,,,,,,,,
59.916,2,Find Yellow,task_end,,,,,False,5.505,0,0,0.0,,,,
