t,task_idx,task_name,event_type,total_slots,completed,duration_s,misplacements,correct_placements,error_rate,from_mode,to_mode,commit_latency_s,action,response_latency_s,kind,count,subaction,target,expected,actual,source,correct,pasted,snapped
0.053,0,Gate,task_start,14,,,,,,,,,,,,,,,,,,,,
4.352,0,Gate,task_end,,False,4.299,0,0,0.0,,,,,,,,,,,,,,,
4.353,2,Find Red,task_start,13,,,,,,,,,,,,,,,,,,,,
8.842,2,Find Red,mode_change,,,,,,,open,F,1.093,,,,,,,,,,,,
11.176,2,Find Red,action,,,,,,,,,,F,0.0,red,14,,,,,,,,
13.379,2,Find Red,action,,,,,,,,,,F,0.0,red,14,,,,,,,,
14.81,2,Find Red,mode_change,,,,,,,F,C,1.049,,,,,,,,,,,,
17.229,2,Find Red,action,,,,,,,,,,C,0.0,red,,copy,D,,,,,,
18.816,2,Find Red,placement,,,,,,,,,,,,,,,,red,red,paste,True,,
18.816,2,Find Red,action,,,,,,,,,,C,0.0,red,,paste,,,,,,D',True
20.164,2,Find Red,placement,,,,,,,,,,,,,,,,red,red,paste,True,,
20.164,2,Find Red,action,,,,,,,,,,C,0.0,red,,paste,,,,,,D',True
21.404,2,Find Red,placement,,,,,,,,,,,,,,,,red,red,paste,True,,
21.404,2,Find Red,action,,,,,,,,,,C,0.0,red,,paste,,,,,,D',True
22.418,2,Find Red,placement,,,,,,,,,,,,,,,,red,red,paste,True,,
22.418,2,Find Red,action,,,,,,,,,,C,0.0,red,,paste,,,,,,D',True
24.633,2,Find Red,placement,,,,,,,,,,,,,,,,red,red,paste,True,,
24.633,2,Find Red,action,,,,,,,,,,C,0.0,red,,paste,,,,,,D',True
25.766,2,Find Red,placement,,,,,,,,,,,,,,,,red,red,paste,True,,
25.766,2,Find Red,action,,,,,,,,,,C,0.0,red,,paste,,,,,,D',True
26.752,2,Find Red,placement,,,,,,,,,,,,,,,,red,red,paste,True,,
26.752,2,Find Red,action,,,,,,,,,,C,0.0,red,,paste,,,,,,D',True
28.087,2,Find Red,placement,,,,,,,,,,,,,,,,red,red,paste,True,,
28.087,2,Find Red,action,,,,,,,,,,C,0.0,red,,paste,,,,,,D',True
29.193,2,Find Red,placement,,,,,,,,,,,,,,,,red,red,paste,True,,
29.193,2,Find Red,action,,,,,,,,,,C,0.0,red,,paste,,,,,,D',True
31.511,2,Find Red,placement,,,,,,,,,,,,,,,,red,red,paste,True,,
31.511,2,Find Red,action,,,,,,,,,,C,0.0,red,,paste,,,,,,D',True
31.511,2,Find Red,task_end,,True,27.158,0,10,0.0,,,,,,,,,,,,,,,
34.02,3,Find Two,task_start,12,,,,,,,,,,,,,,,,,,,,
35.399,3,Find Two,action,,,,,,,,,,C,0.0,,,empty_clipboard,,,,,,,
41.816,3,Find Two,mode_change,,,,,,,C,F,1.064,,,,,,,,,,,,
44.392,3,Find Two,action,,,,,,,,,,F,0.0,yellow,6,,,,,,,,
47.106,3,Find Two,mode_change,,,,,,,F,C,1.022,,,,,,,,,,,,
47.808,3,Find Two,action,,,,,,,,,,C,0.0,yellow,,copy,A,,,,,,
49.311,3,Find Two,placement,,,,,,,,,,,,,,,,yellow,yellow,paste,True,,
49.311,3,Find Two,action,,,,,,,,,,C,0.0,yellow,,paste,,,,,,A',True
50.134,3,Find Two,placement,,,,,,,,,,,,,,,,yellow,yellow,paste,True,,
50.134,3,Find Two,action,,,,,,,,,,C,0.0,yellow,,paste,,,,,,A',True
51.306,3,Find Two,placement,,,,,,,,,,,,,,,,yellow,yellow,paste,True,,
51.306,3,Find Two,action,,,,,,,,,,C,0.0,yellow,,paste,,,,,,A',True
52.016,3,Find Two,placement,,,,,,,,,,,,,,,,yellow,yellow,paste,True,,
52.016,3,Find Two,action,,,,,,,,,,C,0.0,yellow,,paste,,,,,,A',True
54.297,3,Find Two,action,,,,,,,,,,C,0.0,yellow,,paste,,,,,,A',False
55.936,3,Find Two,mode_change,,,,,,,C,F,1.049,,,,,,,,,,,,
61.969,3,Find Two,action,,,,,,,,,,F,0.0,green,8,,,,,,,,
78.139,3,Find Two,mode_change,,,,,,,F,C,1.111,,,,,,,,,,,,
81.192,3,Find Two,action,,,,,,,,,,C,0.0,green,,copy,D,,,,,,
82.994,3,Find Two,action,,,,,,,,,,C,0.0,green,,paste,,,,,,D',False
