t,task_idx,task_name,event_type,total_slots,completed,duration_s,misplacements,correct_placements,error_rate,expected,actual,source,correct,action,response_latency_s,target,kind,snapped,from_mode,to_mode,commit_latency_s,subaction,pasted
0.044,0,Gate,task_start,14,,,,,,,,,,,,,,,,,,,
11.816,0,Gate,task_end,,False,11.772,0,0,0.0,,,,,,,,,,,,,,
11.816,4,Cleanup,task_start,10,,,,,,,,,,,,,,,,,,,
13.818,4,Cleanup,placement,,,,,,,yellow,red,drag,False,,,,,,,,,,
13.818,4,Cleanup,action,,,,,,,,,,,drag,0.136,i,red,True,,,,,
15.359,4,Cleanup,mode_change,,,,,,,,,,,,,,,,open,C,1.133,,
15.874,4,Cleanup,action,,,,,,,,,,,C,0.0,J,blue,,,,,copy,
17.264,4,Cleanup,placement,,,,,,,yellow,blue,paste,False,,,,,,,,,,
17.264,4,Cleanup,action,,,,,,,,,,,C,0.0,,blue,True,,,,paste,J'
22.887,4,Cleanup,mode_change,,,,,,,,,,,,,,,,C,X,1.148,,
23.005,4,Cleanup,action,,,,,,,,,,,X,0.0,J',blue,,,,,,
26.478,4,Cleanup,mode_change,,,,,,,,,,,,,,,,X,C,1.052,,
27.877,4,Cleanup,action,,,,,,,,,,,C,0.0,K,yellow,,,,,copy,
31.825,4,Cleanup,placement,,,,,,,yellow,yellow,paste,True,,,,,,,,,,
31.825,4,Cleanup,action,,,,,,,,,,,C,0.0,,yellow,True,,,,paste,K'
34.684,4,Cleanup,mode_change,,,,,,,,,,,,,,,,C,X,1.055,,
37.237,4,Cleanup,action,,,,,,,,,,,X,0.0,i,red,,,,,,
39.216,4,Cleanup,action,,,,,,,,,,,X,0.0,c,red,,,,,,
42.479,4,Cleanup,action,,,,,,,,,,,X,0.0,f,purple,,,,,,
45.817,4,Cleanup,mode_change,,,,,,,,,,,,,,,,X,C,1.009,,
45.925,4,Cleanup,action,,,,,,,,,,,C,0.0,D,purple,,,,,copy,
47.292,4,Cleanup,placement,,,,,,,green,purple,paste,False,,,,,,,,,,
47.292,4,Cleanup,action,,,,,,,,,,,C,0.0,,purple,True,,,,paste,D'
51.274,4,Cleanup,mode_change,,,,,,,,,,,,,,,,C,X,1.031,,
51.391,4,Cleanup,action,,,,,,,,,,,X,0.0,D',purple,,,,,,
53.912,4,Cleanup,mode_change,,,,,,,,,,,,,,,,X,C,1.045,,
55.056,4,Cleanup,action,,,,,,,,,,,C,0.0,B,green,,,,,copy,
57.172,4,Cleanup,placement,,,,,,,green,green,paste,True,,,,,,,,,,
57.172,4,Cleanup,action,,,,,,,,,,,C,0.0,,green,True,,,,paste,B'
59.986,4,Cleanup,placement,,,,,,,green,green,paste,True,,,,,,,,,,
59.986,4,Cleanup,action,,,,,,,,,,,C,0.0,,green,True,,,,paste,B'
61.868,4,Cleanup,action,,,,,,,,,,,C,0.0,H,blue,,,,,copy,
62.807,4,Cleanup,action,,,,,,,,,,,C,0.0,G,purple,,,,,copy,
64.893,4,Cleanup,placement,,,,,,,blue,purple,paste,False,,,,,,,,,,
64.893,4,Cleanup,action,,,,,,,,,,,C,0.0,,purple,True,,,,paste,G'
70.374,4,Cleanup,action,,,,,,,,,,,C,0.0,H,blue,,,,,copy,
72.04,4,Cleanup,placement,,,,,,,blue,blue,paste,True,,,,,,,,,,
72.04,4,Cleanup,action,,,,,,,,,,,C,0.0,,blue,True,,,,paste,H'
74.53,4,Cleanup,action,,,,,,,,,,,C,0.0,K,yellow,,,,,copy,
76.199,4,Cleanup,action,,,,,,,,,,,C,0.0,K,yellow,,,,,copy,
77.397,4,Cleanup,placement,,,,,,,yellow,yellow,paste,True,,,,,,,,,,
77.397,4,Cleanup,action,,,,,,,,,,,C,0.0,,yellow,True,,,,paste,K'
80.413,4,Cleanup,placement,,,,,,,yellow,yellow,paste,True,,,,,,,,,,
80.413,4,Cleanup,action,,,,,,,,,,,C,0.0,,yellow,True,,,,paste,K'
80.413,4,Cleanup,task_end,,True,68.597,4,6,0.4,,,,,,,,,,,,,,
82.935,5,Sunshine,task_start,9,,,,,,,,,,,,,,,,,,,
87.512,5,Sunshine,task_end,,False,4.577,0,0,0.0,,,,,,,,,,,,,,
