t,task_idx,task_name,event_type,total_slots,completed,duration_s,misplacements,correct_placements,error_rate,from_mode,to_mode,commit_latency_s,action,response_latency_s,subaction,target,kind,expected,actual,source,correct,pasted,snapped
0.046,0,Gate,task_start,14,,,,,,,,,,,,,,,,,,,
7.024,0,Gate,task_end,,False,6.978,0,0,0.0,,,,,,,,,,,,,,
7.024,5,Sunshine Cleanup,task_start,9,,,,,,,,,,,,,,,,,,,
17.512,5,Sunshine Cleanup,mode_change,,,,,,,open,C,1.225,,,,,,,,,,,
20.512,5,Sunshine Cleanup,action,,,,,,,,,,C,0.0,copy,a,lime,,,,,,
21.877,5,Sunshine Cleanup,placement,,,,,,,,,,,,,,,yellow,lime,paste,False,,
21.877,5,Sunshine Cleanup,action,,,,,,,,,,C,0.0,paste,,lime,,,,,a',True
24.361,5,Sunshine Cleanup,placement,,,,,,,,,,,,,,,yellow,lime,paste,False,,
24.361,5,Sunshine Cleanup,action,,,,,,,,,,C,0.0,paste,,lime,,,,,a',True
27.78,5,Sunshine Cleanup,mode_change,,,,,,,C,X,1.112,,,,,,,,,,,
28.399,5,Sunshine Cleanup,action,,,,,,,,,,X,0.0,,a',lime,,,,,,
29.633,5,Sunshine Cleanup,action,,,,,,,,,,X,0.0,,a,lime,,,,,,
32.92,5,Sunshine Cleanup,action,,,,,,,,,,X,0.0,,e,crimson,,,,,,
34.369,5,Sunshine Cleanup,action,,,,,,,,,,X,0.0,,h,olive,,,,,,
36.016,5,Sunshine Cleanup,action,,,,,,,,,,X,0.0,,c,olive,,,,,,
37.179,5,Sunshine Cleanup,action,,,,,,,,,,X,0.0,,f,lime,,,,,,
39.458,5,Sunshine Cleanup,mode_change,,,,,,,X,C,0.994,,,,,,,,,,,
41.634,5,Sunshine Cleanup,action,,,,,,,,,,C,0.0,copy,A,yellow,,,,,,
43.468,5,Sunshine Cleanup,placement,,,,,,,,,,,,,,,yellow,yellow,paste,True,,
43.468,5,Sunshine Cleanup,action,,,,,,,,,,C,0.0,paste,,yellow,,,,,A',True
45.625,5,Sunshine Cleanup,placement,,,,,,,,,,,,,,,yellow,yellow,paste,True,,
45.625,5,Sunshine Cleanup,action,,,,,,,,,,C,0.0,paste,,yellow,,,,,A',True
49.478,5,Sunshine Cleanup,mode_change,,,,,,,C,open,1.059,,,,,,,,,,,
51.309,5,Sunshine Cleanup,mode_change,,,,,,,open,C,1.031,,,,,,,,,,,
51.309,5,Sunshine Cleanup,action,,,,,,,,,,C,0.0,paste,,yellow,,,,,A',False
54.252,5,Sunshine Cleanup,mode_change,,,,,,,C,X,1.055,,,,,,,,,,,
57.096,5,Sunshine Cleanup,action,,,,,,,,,,X,0.0,,A',yellow,,,,,,
59.751,5,Sunshine Cleanup,mode_change,,,,,,,X,C,1.03,,,,,,,,,,,
60.873,5,Sunshine Cleanup,placement,,,,,,,,,,,,,,,yellow,yellow,paste,True,,
60.873,5,Sunshine Cleanup,action,,,,,,,,,,C,0.0,paste,,yellow,,,,,A',True
62.274,5,Sunshine Cleanup,placement,,,,,,,,,,,,,,,yellow,yellow,paste,True,,
62.274,5,Sunshine Cleanup,action,,,,,,,,,,C,0.0,paste,,yellow,,,,,A',True
63.708,5,Sunshine Cleanup,placement,,,,,,,,,,,,,,,yellow,yellow,paste,True,,
63.708,5,Sunshine Cleanup,action,,,,,,,,,,C,0.0,paste,,yellow,,,,,A',True
67.294,5,Sunshine Cleanup,placement,,,,,,,,,,,,,,,yellow,yellow,paste,True,,
67.294,5,Sunshine Cleanup,action,,,,,,,,,,C,0.0,paste,,yellow,,,,,A',True
68.38,5,Sunshine Cleanup,placement,,,,,,,,,,,,,,,yellow,yellow,paste,True,,
68.38,5,Sunshine Cleanup,action,,,,,,,,,,C,0.0,paste,,yellow,,,,,A',True
75.709,5,Sunshine Cleanup,action,,,,,,,,,,C,0.0,copy,I,red,,,,,,
78.268,5,Sunshine Cleanup,placement,,,,,,,,,,,,,,,red,red,paste,True,,
78.268,5,Sunshine Cleanup,action,,,,,,,,,,C,0.0,paste,,red,,,,,I',True
78.268,5,Sunshine Cleanup,task_end,,True,71.244,2,8,0.2,,,,,,,,,,,,,,
80.83,6,Gate,task_start,14,,,,,,,,,,,,,,,,,,,
82.363,6,Gate,task_end,,False,1.533,0,0,0.0,,,,,,,,,,,,,,
