t,task_idx,task_name,event_type,total_slots,completed,duration_s,misplacements,correct_placements,error_rate,from_mode,to_mode,commit_latency_s,action,response_latency_s,target,kind,subaction,expected,actual,source,correct,pasted,snapped
0.045,0,Gate,task_start,14,,,,,,,,,,,,,,,,,,,
3.281,0,Gate,task_end,,False,3.236,0,0,0.0,,,,,,,,,,,,,,
3.281,5,Sunshine Cleanup,task_start,9,,,,,,,,,,,,,,,,,,,
14.497,5,Sunshine Cleanup,mode_change,,,,,,,open,X,1.101,,,,,,,,,,,
16.486,5,Sunshine Cleanup,action,,,,,,,,,,X,0.0,d,orange,,,,,,,
17.937,5,Sunshine Cleanup,action,,,,,,,,,,X,0.0,a,lime,,,,,,,
19.926,5,Sunshine Cleanup,action,,,,,,,,,,X,0.0,c,olive,,,,,,,
21.305,5,Sunshine Cleanup,action,,,,,,,,,,X,0.0,f,lime,,,,,,,
24.946,5,Sunshine Cleanup,action,,,,,,,,,,X,0.0,h,crimson,,,,,,,
26.854,5,Sunshine Cleanup,mode_change,,,,,,,X,C,0.984,,,,,,,,,,,
27.889,5,Sunshine Cleanup,action,,,,,,,,,,C,0.0,i,yellow,copy,,,,,,
30.633,5,Sunshine Cleanup,placement,,,,,,,,,,,,,,,yellow,yellow,paste,True,,
30.633,5,Sunshine Cleanup,action,,,,,,,,,,C,0.0,,yellow,paste,,,,,i',True
32.354,5,Sunshine Cleanup,placement,,,,,,,,,,,,,,,yellow,yellow,paste,True,,
32.354,5,Sunshine Cleanup,action,,,,,,,,,,C,0.0,,yellow,paste,,,,,i',True
33.937,5,Sunshine Cleanup,placement,,,,,,,,,,,,,,,yellow,yellow,paste,True,,
33.937,5,Sunshine Cleanup,action,,,,,,,,,,C,0.0,,yellow,paste,,,,,i',True
35.407,5,Sunshine Cleanup,placement,,,,,,,,,,,,,,,yellow,yellow,paste,True,,
35.407,5,Sunshine Cleanup,action,,,,,,,,,,C,0.0,,yellow,paste,,,,,i',True
37.301,5,Sunshine Cleanup,mode_change,,,,,,,C,X,0.97,,,,,,,,,,,
38.405,5,Sunshine Cleanup,mode_change,,,,,,,X,C,0.994,,,,,,,,,,,
41.203,5,Sunshine Cleanup,placement,,,,,,,,,,,,,,,red,yellow,paste,False,,
41.203,5,Sunshine Cleanup,action,,,,,,,,,,C,0.0,,yellow,paste,,,,,i',True
44.217,5,Sunshine Cleanup,mode_change,,,,,,,C,Z,1.02,,,,,,,,,,,
49.767,5,Sunshine Cleanup,mode_change,,,,,,,Z,X,1.011,,,,,,,,,,,
53.507,5,Sunshine Cleanup,mode_change,,,,,,,X,Z,1.021,,,,,,,,,,,
56.293,5,Sunshine Cleanup,action,,,,,,,,,,Z,0.0,h,,,,,,,,
58.779,5,Sunshine Cleanup,action,,,,,,,,,,Z,0.0,f,,,,,,,,
60.215,5,Sunshine Cleanup,action,,,,,,,,,,Z,0.0,c,,,,,,,,
61.191,5,Sunshine Cleanup,action,,,,,,,,,,Z,0.0,a,,,,,,,,
61.814,5,Sunshine Cleanup,action,,,,,,,,,,Z,0.0,d,,,,,,,,
65.737,5,Sunshine Cleanup,task_end,,False,62.456,1,4,0.2,,,,,,,,,,,,,,
65.738,0,Gate,task_start,14,,,,,,,,,,,,,,,,,,,
66.442,0,Gate,task_end,,False,0.704,0,0,0.0,,,,,,,,,,,,,,
