t,task_idx,task_name,event_type,total_slots,from_mode,to_mode,commit_latency_s,action,response_latency_s,subaction,target,kind,expected,actual,source,correct,pasted,snapped,completed,duration_s,misplacements,correct_placements,error_rate
0.051,0,Gate,task_start,14,,,,,,,,,,,,,,,,,,,
7.896,0,Gate,mode_change,,open,C,1.13,,,,,,,,,,,,,,,,
8.402,0,Gate,action,,,,,C,0.0,copy,G,green,,,,,,,,,,,
10.225,0,Gate,action,,,,,C,0.0,copy,G,green,,,,,,,,,,,
12.325,0,Gate,placement,,,,,,,,,,yellow,green,paste,False,,,,,,,
12.325,0,Gate,action,,,,,C,0.0,paste,,green,,,,,G',True,,,,,
13.4,0,Gate,placement,,,,,,,,,,yellow,green,paste,False,,,,,,,
13.4,0,Gate,action,,,,,C,0.0,paste,,green,,,,,G',True,,,,,
15.276,0,Gate,placement,,,,,,,,,,yellow,green,paste,False,,,,,,,
15.276,0,Gate,action,,,,,C,0.0,paste,,green,,,,,G',True,,,,,
16.803,0,Gate,placement,,,,,,,,,,grey,green,paste,False,,,,,,,
16.803,0,Gate,action,,,,,C,0.0,paste,,green,,,,,G',True,,,,,
20.096,0,Gate,mode_change,,C,X,1.211,,,,,,,,,,,,,,,,
23.026,0,Gate,mode_change,,X,Z,1.197,,,,,,,,,,,,,,,,
55.476,0,Gate,task_end,,,,,,,,,,,,,,,,False,55.425,4,0,1.0
