t,task_idx,task_name,event_type,total_slots,from_mode,to_mode,commit_latency_s,action,response_latency_s,subaction,target,kind,pasted,snapped,expected,actual,source,correct,remaining,completed,duration_s,misplacements,correct_placements,error_rate
0.044,0,Gate,task_start,14,,,,,,,,,,,,,,,,,,,,
6.656,0,Gate,mode_change,,open,C,1.138,,,,,,,,,,,,,,,,,
6.656,0,Gate,action,,,,,C,0.0,empty_clipboard,,,,,,,,,,,,,,
8.351,0,Gate,action,,,,,C,0.0,empty_clipboard,,,,,,,,,,,,,,
8.632,0,Gate,action,,,,,C,0.0,empty_clipboard,,,,,,,,,,,,,,
10.307,0,Gate,action,,,,,C,0.0,copy,D,red,,,,,,,,,,,,
11.723,0,Gate,action,,,,,C,0.0,paste,,red,D',False,,,,,,,,,,
12.003,0,Gate,action,,,,,C,0.0,paste,,red,D',False,,,,,,,,,,
16.02,0,Gate,mode_change,,C,X,1.198,,,,,,,,,,,,,,,,,
16.81,0,Gate,action,,,,,X,0.0,,D',red,,,,,,,,,,,,
18.896,0,Gate,action,,,,,X,0.0,,D',red,,,,,,,,,,,,
22.711,0,Gate,mode_change,,X,C,1.147,,,,,,,,,,,,,,,,,
23.212,0,Gate,action,,,,,C,0.0,paste,,red,D',False,,,,,,,,,,
24.923,0,Gate,action,,,,,C,0.0,copy,G,grey,,,,,,,,,,,,
33.653,0,Gate,action,,,,,C,0.0,copy,L,yellow,,,,,,,,,,,,
34.579,0,Gate,action,,,,,C,0.0,copy,K,green,,,,,,,,,,,,
37.177,0,Gate,action,,,,,C,0.0,copy,H,green,,,,,,,,,,,,
39.255,0,Gate,action,,,,,C,0.0,copy,E,green,,,,,,,,,,,,
46.09,0,Gate,action,,,,,C,0.0,copy,M,yellow,,,,,,,,,,,,
50.939,0,Gate,action,,,,,C,0.0,paste,,yellow,M',False,,,,,,,,,,
54.368,0,Gate,action,,,,,C,0.0,copy,K,green,,,,,,,,,,,,
56.106,0,Gate,action,,,,,C,0.0,copy,M',yellow,,,,,,,,,,,,
59.703,0,Gate,mode_change,,C,X,1.174,,,,,,,,,,,,,,,,,
61.938,0,Gate,action,,,,,X,0.0,,M',yellow,,,,,,,,,,,,
64.259,0,Gate,action,,,,,X,0.0,,K,green,,,,,,,,,,,,
64.636,0,Gate,mode_change,,X,C,1.134,,,,,,,,,,,,,,,,,
67.995,0,Gate,action,,,,,C,0.0,copy,H,green,,,,,,,,,,,,
70.864,0,Gate,placement,,,,,,,,,,,,green,green,paste,True,,,,,,
70.865,0,Gate,action,,,,,C,0.0,paste,,green,H',True,,,,,,,,,,
73.702,0,Gate,placement,,,,,,,,,,,,green,green,paste,True,,,,,,
73.702,0,Gate,action,,,,,C,0.0,paste,,green,H',True,,,,,,,,,,
75.626,0,Gate,placement,,,,,,,,,,,,green,green,paste,True,,,,,,
75.626,0,Gate,action,,,,,C,0.0,paste,,green,H',True,,,,,,,,,,
79.01,0,Gate,placement,,,,,,,,,,,,green,green,paste,True,,,,,,
79.01,0,Gate,action,,,,,C,0.0,paste,,green,H',True,,,,,,,,,,
82.926,0,Gate,placement,,,,,,,,,,,,green,green,paste,True,,,,,,
82.926,0,Gate,action,,,,,C,0.0,paste,,green,H',True,,,,,,,,,,
86.222,0,Gate,mode_change,,C,Z,1.169,,,,,,,,,,,,,,,,,
87.933,0,Gate,action,,,,,Z,0.0,,,,,,,,,,4,,,,,
89.634,0,Gate,action,,,,,Z,0.0,,,,,,,,,,3,,,,,
90.79,0,Gate,action,,,,,Z,0.0,,,,,,,,,,2,,,,,
91.97,0,Gate,action,,,,,Z,0.0,,,,,,,,,,1,,,,,
93.002,0,Gate,action,,,,,Z,0.0,,,,,,,,,,0,,,,,
99.722,0,Gate,task_end,,,,,,,,,,,,,,,,,False,99.678,0,5,0.0
