t,task_idx,task_name,event_type,total_slots,from_mode,to_mode,commit_latency_s,action,response_latency_s,subaction,target,kind,pasted,snapped,expected,actual,source,correct,completed,duration_s,misplacements,correct_placements,error_rate
0.043,0,Gate,task_start,14,,,,,,,,,,,,,,,,,,,
12.771,0,Gate,mode_change,,open,C,1.149,,,,,,,,,,,,,,,,
13.546,0,Gate,action,,,,,C,0.0,copy,G,yellow,,,,,,,,,,,
14.98,0,Gate,action,,,,,C,0.0,paste,,yellow,G',False,,,,,,,,,
17.655,0,Gate,action,,,,,C,0.0,copy,G',yellow,,,,,,,,,,,
20.76,0,Gate,mode_change,,C,X,1.188,,,,,,,,,,,,,,,,
22.085,0,Gate,action,,,,,X,0.0,,G',yellow,,,,,,,,,,,
24.046,0,Gate,mode_change,,X,C,1.192,,,,,,,,,,,,,,,,
24.845,0,Gate,action,,,,,C,0.0,copy,G,yellow,,,,,,,,,,,
27.075,0,Gate,placement,,,,,,,,,,,,yellow,yellow,paste,True,,,,,
27.075,0,Gate,action,,,,,C,0.0,paste,,yellow,G',True,,,,,,,,,
28.674,0,Gate,placement,,,,,,,,,,,,yellow,yellow,paste,True,,,,,
28.674,0,Gate,action,,,,,C,0.0,paste,,yellow,G',True,,,,,,,,,
31.516,0,Gate,placement,,,,,,,,,,,,yellow,yellow,paste,True,,,,,
31.516,0,Gate,action,,,,,C,0.0,paste,,yellow,G',True,,,,,,,,,
32.709,0,Gate,placement,,,,,,,,,,,,yellow,yellow,paste,True,,,,,
32.709,0,Gate,action,,,,,C,0.0,paste,,yellow,G',True,,,,,,,,,
34.454,0,Gate,action,,,,,C,0.0,paste,,yellow,G',False,,,,,,,,,
38.038,0,Gate,mode_change,,C,X,1.176,,,,,,,,,,,,,,,,
40.124,0,Gate,action,,,,,X,0.0,,G',yellow,,,,,,,,,,,
42.663,0,Gate,mode_change,,X,C,1.157,,,,,,,,,,,,,,,,
43.831,0,Gate,placement,,,,,,,,,,,,yellow,yellow,paste,True,,,,,
43.831,0,Gate,action,,,,,C,0.0,paste,,yellow,G',True,,,,,,,,,
47.246,0,Gate,action,,,,,C,0.0,copy,O,green,,,,,,,,,,,
54.519,0,Gate,action,,,,,C,0.0,copy,K,yellow,,,,,,,,,,,
57.623,0,Gate,action,,,,,C,0.0,copy,I,green,,,,,,,,,,,
58.68,0,Gate,action,,,,,C,0.0,copy,I,green,,,,,,,,,,,
61.449,0,Gate,action,,,,,C,0.0,copy,I,green,,,,,,,,,,,
64.167,0,Gate,action,,,,,C,0.0,paste,,green,I',False,,,,,,,,,
67.032,0,Gate,action,,,,,C,0.0,paste,,green,I',False,,,,,,,,,
68.274,0,Gate,action,,,,,C,0.0,copy,I',green,,,,,,,,,,,
74.516,0,Gate,action,,,,,C,0.0,paste,,green,I'',False,,,,,,,,,
75.293,0,Gate,action,,,,,C,0.0,copy,I'',green,,,,,,,,,,,
76.315,0,Gate,action,,,,,C,0.0,paste,,green,I''',False,,,,,,,,,
78.773,0,Gate,action,,,,,C,0.0,copy,I'',green,,,,,,,,,,,
80.165,0,Gate,action,,,,,C,0.0,paste,,green,I''',False,,,,,,,,,
81.605,0,Gate,action,,,,,C,0.0,copy,I''',green,,,,,,,,,,,
85.184,0,Gate,action,,,,,C,0.0,copy,I''',green,,,,,,,,,,,
89.098,0,Gate,action,,,,,C,0.0,copy,I',green,,,,,,,,,,,
92.035,0,Gate,action,,,,,C,0.0,copy,I',green,,,,,,,,,,,
94.301,0,Gate,placement,,,,,,,,,,,,green,green,paste,True,,,,,
94.301,0,Gate,action,,,,,C,0.0,paste,,green,I'',True,,,,,,,,,
97.619,0,Gate,placement,,,,,,,,,,,,green,green,paste,True,,,,,
97.619,0,Gate,action,,,,,C,0.0,paste,,green,I'',True,,,,,,,,,
101.216,0,Gate,placement,,,,,,,,,,,,green,green,paste,True,,,,,
101.216,0,Gate,action,,,,,C,0.0,paste,,green,I'',True,,,,,,,,,
104.684,0,Gate,placement,,,,,,,,,,,,green,green,paste,True,,,,,
104.684,0,Gate,action,,,,,C,0.0,paste,,green,I'',True,,,,,,,,,
107.843,0,Gate,placement,,,,,,,,,,,,green,green,paste,True,,,,,
107.843,0,Gate,action,,,,,C,0.0,paste,,green,I'',True,,,,,,,,,
109.225,0,Gate,action,,,,,C,0.0,copy,I''',green,,,,,,,,,,,
112.808,0,Gate,action,,,,,C,0.0,copy,D,grey,,,,,,,,,,,
115.352,0,Gate,placement,,,,,,,,,,,,grey,grey,paste,True,,,,,
115.352,0,Gate,action,,,,,C,0.0,paste,,grey,D',True,,,,,,,,,
117.671,0,Gate,action,,,,,C,0.0,copy,I',green,,,,,,,,,,,
120.691,0,Gate,placement,,,,,,,,,,,,grey,green,paste,False,,,,,
120.691,0,Gate,action,,,,,C,0.0,paste,,green,I'',True,,,,,,,,,
131.072,0,Gate,task_end,,,,,,,,,,,,,,,,False,131.029,1,11,0.083
