t,task_idx,task_name,event_type,total_slots,action,response_latency_s,target,kind,snapped,completed,duration_s,misplacements,correct_placements,error_rate
0.042,0,Gate,task_start,14,,,,,,,,,,
12.836,0,Gate,action,,drag,0.889,L,grey,False,,,,,
18.378,0,Gate,action,,drag,0.9,I,grey,False,,,,,
20.18,0,Gate,action,,drag,0.777,H,grey,False,,,,,
21.727,0,Gate,action,,drag,0.909,H,grey,False,,,,,
23.788,0,Gate,action,,drag,0.775,E,green,False,,,,,
25.2,0,Gate,action,,drag,0.896,E,green,False,,,,,
27.483,0,Gate,action,,drag,0.896,L,grey,False,,,,,
29.396,0,Gate,action,,drag,0.769,K,yellow,False,,,,,
32.933,0,Gate,action,,drag,0.88,L,grey,False,,,,,
35.369,0,Gate,action,,drag,1.049,O,green,False,,,,,
39.293,0,Gate,action,,drag,0.884,G,green,False,,,,,
41.59,0,Gate,action,,drag,0.898,J,yellow,False,,,,,
44.144,0,Gate,action,,drag,0.884,M,green,False,,,,,
46.617,0,Gate,action,,drag,1.186,N,yellow,False,,,,,
48.037,0,Gate,action,,drag,0.781,M,green,False,,,,,
49.429,0,Gate,action,,drag,0.758,M,green,False,,,,,
50.473,0,Gate,task_end,,,,,,,False,50.431,0,0,0.0
