t,task_idx,task_name,event_type,total_slots,action,response_latency_s,target,kind,snapped,from_mode,to_mode,commit_latency_s,subaction,completed,duration_s,misplacements,correct_placements,error_rate
0.044,0,Gate,task_start,14,,,,,,,,,,,,,,
5.633,0,Gate,action,,drag,0.746,F,green,False,,,,,,,,,
7.016,0,Gate,action,,drag,0.634,F,green,False,,,,,,,,,
10.057,0,Gate,action,,drag,0.774,C,yellow,False,,,,,,,,,
11.701,0,Gate,action,,drag,0.505,C,yellow,False,,,,,,,,,
13.752,0,Gate,action,,drag,1.409,C,yellow,False,,,,,,,,,
14.641,0,Gate,mode_change,,,,,,,open,C,1.152,,,,,,
17.524,0,Gate,action,,C,0.0,C,yellow,,,,,copy,,,,,
21.55,0,Gate,mode_change,,,,,,,C,open,1.187,,,,,,
22.576,0,Gate,action,,drag,1.027,E,yellow,False,,,,,,,,,
25.586,0,Gate,action,,drag,0.892,E,yellow,False,,,,,,,,,
27.421,0,Gate,action,,drag,1.062,E,yellow,False,,,,,,,,,
30.046,0,Gate,action,,drag,0.684,B,grey,False,,,,,,,,,
33.095,0,Gate,action,,drag,0.802,E,yellow,False,,,,,,,,,
35.89,0,Gate,action,,drag,0.799,H,grey,False,,,,,,,,,
38.999,0,Gate,action,,drag,0.914,N,green,False,,,,,,,,,
40.284,0,Gate,action,,drag,0.758,K,green,False,,,,,,,,,
42.937,0,Gate,action,,drag,1.345,N,green,False,,,,,,,,,
45.827,0,Gate,action,,drag,0.801,O,grey,False,,,,,,,,,
49.508,0,Gate,action,,drag,1.721,O,grey,False,,,,,,,,,
52.038,0,Gate,action,,drag,0.805,L,green,False,,,,,,,,,
54.585,0,Gate,action,,drag,0.943,G,purple,False,,,,,,,,,
56.945,0,Gate,action,,drag,0.768,D,red,False,,,,,,,,,
59.521,0,Gate,action,,drag,1.177,D,red,False,,,,,,,,,
61.328,0,Gate,action,,drag,0.902,A,grey,False,,,,,,,,,
63.036,0,Gate,action,,drag,0.776,A,grey,False,,,,,,,,,
65.75,0,Gate,action,,drag,1.283,E,yellow,False,,,,,,,,,
68.983,0,Gate,action,,drag,1.153,E,yellow,False,,,,,,,,,
71.192,0,Gate,action,,drag,0.784,B,grey,False,,,,,,,,,
74.453,0,Gate,action,,drag,1.433,E,yellow,False,,,,,,,,,
76.526,0,Gate,action,,drag,0.782,D,red,False,,,,,,,,,
79.747,0,Gate,action,,drag,0.894,J,yellow,False,,,,,,,,,
81.853,0,Gate,action,,drag,0.789,M,yellow,False,,,,,,,,,
83.45,0,Gate,action,,drag,1.195,P,green,False,,,,,,,,,
86.811,0,Gate,action,,drag,1.741,P,green,False,,,,,,,,,
89.618,0,Gate,action,,drag,1.333,P,green,False,,,,,,,,,
91.853,0,Gate,action,,drag,0.657,N,green,False,,,,,,,,,
94.076,0,Gate,action,,drag,1.047,N,green,False,,,,,,,,,
95.644,0,Gate,action,,drag,0.909,K,green,False,,,,,,,,,
97.571,0,Gate,action,,drag,0.76,L,green,False,,,,,,,,,
99.525,0,Gate,action,,drag,0.783,K,green,False,,,,,,,,,
101.062,0,Gate,action,,drag,1.033,K,green,False,,,,,,,,,
105.118,0,Gate,action,,drag,1.287,L,green,False,,,,,,,,,
107.445,0,Gate,action,,drag,1.162,N,green,False,,,,,,,,,
109.012,0,Gate,action,,drag,0.91,K,green,False,,,,,,,,,
112.102,0,Gate,action,,drag,0.901,L,green,False,,,,,,,,,
114.443,0,Gate,action,,drag,0.911,K,green,False,,,,,,,,,
117.038,0,Gate,action,,drag,1.303,L,green,False,,,,,,,,,
118.597,0,Gate,action,,drag,0.896,I,yellow,False,,,,,,,,,
120.516,0,Gate,action,,drag,0.767,F,green,False,,,,,,,,,
122.327,0,Gate,action,,drag,0.919,E,yellow,False,,,,,,,,,
125.271,0,Gate,action,,drag,0.781,D,red,False,,,,,,,,,
130.376,0,Gate,action,,drag,1.378,K,green,False,,,,,,,,,
132.971,0,Gate,action,,drag,1.168,K,green,False,,,,,,,,,
134.65,0,Gate,action,,drag,0.77,H,grey,False,,,,,,,,,
136.838,0,Gate,action,,drag,1.153,N,green,False,,,,,,,,,
142.27,0,Gate,action,,drag,1.557,N,green,False,,,,,,,,,
144.226,0,Gate,action,,drag,0.78,K,green,False,,,,,,,,,
149.671,0,Gate,action,,drag,1.546,P,green,False,,,,,,,,,
152.721,0,Gate,action,,drag,1.057,M,yellow,False,,,,,,,,,
155.527,0,Gate,action,,drag,2.106,P,green,False,,,,,,,,,
158.302,0,Gate,action,,drag,1.179,P,green,False,,,,,,,,,
159.998,0,Gate,action,,drag,0.771,M,yellow,False,,,,,,,,,
163.728,0,Gate,action,,drag,0.888,E,yellow,False,,,,,,,,,
165.721,0,Gate,action,,drag,1.601,F,green,False,,,,,,,,,
167.668,0,Gate,action,,drag,0.79,F,green,False,,,,,,,,,
169.219,0,Gate,action,,drag,0.766,F,green,False,,,,,,,,,
173.246,0,Gate,action,,drag,3.519,F,green,False,,,,,,,,,
177.648,0,Gate,task_end,,,,,,,,,,,False,177.604,0,0,0.0
