t,task_idx,task_name,event_type,total_slots,from_mode,to_mode,commit_latency_s,action,response_latency_s,subaction,target,kind,snapped,completed,duration_s,misplacements,correct_placements,error_rate
0.043,0,Gate,task_start,14,,,,,,,,,,,,,,
4.138,0,Gate,mode_change,,open,C,1.086,,,,,,,,,,,
5.274,0,Gate,action,,,,,C,0.0,copy,E,yellow,,,,,,
6.805,0,Gate,action,,,,,C,0.0,copy,E,yellow,,,,,,
9.359,0,Gate,action,,,,,C,0.0,copy,E,yellow,,,,,,
10.621,0,Gate,action,,,,,C,0.0,copy,E,yellow,,,,,,
11.898,0,Gate,action,,,,,C,0.0,copy,B,grey,,,,,,
14.856,0,Gate,mode_change,,C,open,1.146,,,,,,,,,,,
14.856,0,Gate,action,,,,,drag,2.958,,E,yellow,False,,,,,
16.675,0,Gate,action,,,,,drag,0.794,,B,grey,False,,,,,
18.661,0,Gate,action,,,,,drag,0.795,,E,yellow,False,,,,,
20.004,0,Gate,action,,,,,drag,0.671,,F,green,False,,,,,
23.112,0,Gate,action,,,,,drag,0.769,,D,red,False,,,,,
25.361,0,Gate,action,,,,,drag,0.777,,G,yellow,False,,,,,
27.337,0,Gate,action,,,,,drag,0.924,,J,green,False,,,,,
29.907,0,Gate,action,,,,,drag,1.419,,M,green,False,,,,,
30.823,0,Gate,action,,,,,drag,0.38,,P,grey,False,,,,,
34.22,0,Gate,action,,,,,drag,0.761,,E,yellow,False,,,,,
36.262,0,Gate,action,,,,,drag,0.769,,B,grey,False,,,,,
38.202,0,Gate,action,,,,,drag,0.76,,C,blue,False,,,,,
40.578,0,Gate,action,,,,,drag,1.056,,F,green,False,,,,,
42.677,0,Gate,action,,,,,drag,0.808,,L,grey,False,,,,,
44.235,0,Gate,action,,,,,drag,0.769,,O,grey,False,,,,,
46.229,0,Gate,action,,,,,drag,0.676,,N,green,False,,,,,
48.225,0,Gate,action,,,,,drag,1.191,,N,green,False,,,,,
49.654,0,Gate,action,,,,,drag,0.795,,K,yellow,False,,,,,
51.743,0,Gate,action,,,,,drag,1.302,,K,yellow,False,,,,,
53.206,0,Gate,action,,,,,drag,0.809,,H,blue,False,,,,,
55.579,0,Gate,action,,,,,drag,0.787,,E,yellow,False,,,,,
57.421,0,Gate,action,,,,,drag,0.8,,B,grey,False,,,,,
59.261,0,Gate,action,,,,,drag,0.79,,A,yellow,False,,,,,
60.871,0,Gate,action,,,,,drag,0.675,,D,red,False,,,,,
63.108,0,Gate,action,,,,,drag,0.788,,G,yellow,False,,,,,
65.308,0,Gate,action,,,,,drag,0.907,,J,green,False,,,,,
67.251,0,Gate,action,,,,,drag,0.78,,M,green,False,,,,,
71.77,0,Gate,task_end,,,,,,,,,,,False,71.727,0,0,0.0
