t,task_idx,task_name,event_type,total_slots,completed,duration_s,misplacements,correct_placements,error_rate
0.056,0,Gate,task_start,14,,,,,
5.95,0,Gate,task_end,,False,5.894,0,0,0.0
5.951,2,Find Red,task_start,13,,,,,
6.289,2,Find Red,task_end,,False,0.338,0,0,0.0
6.289,2,Find Red,task_start,13,,,,,
32.78,2,Find Red,task_end,,False,26.491,0,0,0.0
32.78,3,Find Two,task_start,12,,,,,
45.407,3,Find Two,task_end,,False,12.627,0,0,0.0
45.407,4,Cleanup,task_start,10,,,,,
74.047,4,Cleanup,task_end,,False,28.64,0,0,0.0
74.047,5,Sunshine Cleanup,task_start,9,,,,,
120.21,5,Sunshine Cleanup,task_end,,False,46.163,0,0,0.0
