t,task_idx,task_name,event_type,total_slots,action,response_latency_s,target,kind,snapped,expected,actual,source,correct,completed,duration_s,misplacements,correct_placements,error_rate
0.07,0,Gate,task_start,14,,,,,,,,,,,,,,
20.033,0,Gate,action,,drag,1.303,D,yellow,False,,,,,,,,,
21.827,0,Gate,action,,drag,0.514,A,grey,False,,,,,,,,,
23.237,0,Gate,action,,drag,0.517,A,grey,False,,,,,,,,,
25.502,0,Gate,action,,drag,1.124,D,yellow,False,,,,,,,,,
27.272,0,Gate,action,,drag,0.508,E,green,False,,,,,,,,,
29.053,0,Gate,action,,drag,0.769,E,green,False,,,,,,,,,
31.08,0,Gate,action,,drag,0.769,B,green,False,,,,,,,,,
33.991,0,Gate,action,,drag,0.754,I,grey,False,,,,,,,,,
42.908,0,Gate,placement,,,,,,,grey,grey,drag,True,,,,,
42.908,0,Gate,action,,drag,3.336,F,grey,True,,,,,,,,,
52.069,0,Gate,task_end,,,,,,,,,,,False,51.999,0,1,0.0
52.069,1,Goalpost,task_start,14,,,,,,,,,,,,,,
59.154,1,Goalpost,task_end,,,,,,,,,,,False,7.085,0,0,0.0
59.154,2,Find Red,task_start,13,,,,,,,,,,,,,,
63.657,2,Find Red,task_end,,,,,,,,,,,False,4.503,0,0,0.0
63.657,3,Find Two,task_start,12,,,,,,,,,,,,,,
75.884,3,Find Two,task_end,,,,,,,,,,,False,12.227,0,0,0.0
75.884,4,Cleanup,task_start,10,,,,,,,,,,,,,,
83.461,4,Cleanup,action,,drag,1.758,c,red,False,,,,,,,,,
86.265,4,Cleanup,placement,,,,,,,yellow,yellow,drag,True,,,,,
86.265,4,Cleanup,action,,drag,0.839,j,yellow,True,,,,,,,,,
88.758,4,Cleanup,action,,drag,1.546,i,red,False,,,,,,,,,
92.03,4,Cleanup,action,,drag,1.526,f,purple,False,,,,,,,,,
99.613,4,Cleanup,placement,,,,,,,green,green,drag,True,,,,,
99.613,4,Cleanup,action,,drag,2.208,B,green,True,,,,,,,,,
102.384,4,Cleanup,action,,drag,0.686,F,green,False,,,,,,,,,
105.054,4,Cleanup,placement,,,,,,,blue,blue,drag,True,,,,,
105.054,4,Cleanup,action,,drag,1.865,E,blue,True,,,,,,,,,
109.129,4,Cleanup,placement,,,,,,,yellow,yellow,drag,True,,,,,
109.129,4,Cleanup,action,,drag,2.234,I,yellow,True,,,,,,,,,
109.129,4,Cleanup,task_end,,,,,,,,,,,True,33.245,0,4,0.0
111.675,5,Sunshine Cleanup,task_start,9,,,,,,,,,,,,,,
114.381,5,Sunshine Cleanup,placement,,,,,,,yellow,yellow,drag,True,,,,,
114.382,5,Sunshine Cleanup,action,,drag,0.853,b,yellow,True,,,,,,,,,
115.982,5,Sunshine Cleanup,placement,,,,,,,yellow,yellow,drag,True,,,,,
115.982,5,Sunshine Cleanup,action,,drag,0.727,b,yellow,True,,,,,,,,,
118.497,5,Sunshine Cleanup,action,,drag,1.915,a,lime,False,,,,,,,,,
121.705,5,Sunshine Cleanup,action,,drag,1.544,c,olive,False,,,,,,,,,
124.178,5,Sunshine Cleanup,action,,drag,1.181,f,lime,False,,,,,,,,,
126.189,5,Sunshine Cleanup,placement,,,,,,,yellow,orange,drag,False,,,,,
126.189,5,Sunshine Cleanup,action,,drag,0.366,d,orange,True,,,,,,,,,
128.346,5,Sunshine Cleanup,action,,drag,1.694,d,orange,False,,,,,,,,,
131.621,5,Sunshine Cleanup,action,,drag,1.592,h,crimson,False,,,,,,,,,
138.646,5,Sunshine Cleanup,task_end,,,,,,,,,,,False,26.971,1,2,0.333
138.646,4,Cleanup,task_start,10,,,,,,,,,,,,,,
164.299,4,Cleanup,task_end,,,,,,,,,,,False,25.653,0,0,0.0
