t,task_idx,task_name,event_type,total_slots,action,response_latency_s,subaction,target,kind,snapped,remaining,completed,duration_s,misplacements,correct_placements,error_rate
0.026,0,Gate,task_start,14,,,,,,,,,,,,
24.1,0,Gate,action,,Z,1.081,empty_history,,,,,,,,,
36.178,0,Gate,action,,X,1.11,no_target,,,,,,,,,
51.743,0,Gate,action,,drag,10.466,,D,green,False,,,,,,
54.061,0,Gate,action,,X,1.075,,D,green,,,,,,,
56.419,0,Gate,action,,X,1.061,,A,green,,,,,,,
57.702,0,Gate,action,,Z,1.05,,,,,2,,,,,
59.584,0,Gate,action,,X,1.067,,A,green,,,,,,,
62.019,0,Gate,action,,Z,1.042,,,,,2,,,,,
63.417,0,Gate,action,,X,1.045,,B,yellow,,,,,,,
66.794,0,Gate,action,,Z,1.059,,,,,2,,,,,
68.812,0,Gate,action,,drag,0.117,,N,yellow,False,,,,,,
70.486,0,Gate,action,,Z,1.058,,,,,2,,,,,
76.672,0,Gate,action,,drag,0.235,,A,green,False,,,,,,
82.753,0,Gate,action,,C,1.068,copy,A,green,,,,,,,
85.688,0,Gate,action,,C,1.052,copy,A,green,,,,,,,
98.494,0,Gate,action,,drag,0.235,,E,blue,False,,,,,,
101.214,0,Gate,task_end,,,,,,,,,False,101.188,0,0,0.0
