t,task_idx,task_name,event_type,total_slots,action,response_latency_s,subaction,target,kind,remaining,expected,actual,source,correct,pasted,snapped,completed,duration_s,misplacements,correct_placements,error_rate
0.027,0,Gate,task_start,14,,,,,,,,,,,,,,,,,
11.975,0,Gate,action,,C,1.086,copy,E,green,,,,,,,,,,,,
28.812,0,Gate,action,,Z,1.131,,,,0,,,,,,,,,,,
32.708,0,Gate,action,,X,1.108,,E,green,,,,,,,,,,,,
36.34,0,Gate,placement,,,,,,,,green,green,paste,True,,,,,,,
36.34,0,Gate,action,,C,1.076,paste,,green,,,,,,E',True,,,,,
39.328,0,Gate,placement,,,,,,,,green,green,paste,True,,,,,,,
39.328,0,Gate,action,,C,1.078,paste,,green,,,,,,E',True,,,,,
41.855,0,Gate,placement,,,,,,,,green,green,paste,True,,,,,,,
41.855,0,Gate,action,,C,1.101,paste,,green,,,,,,E',True,,,,,
44.862,0,Gate,placement,,,,,,,,green,green,paste,True,,,,,,,
44.863,0,Gate,action,,C,1.087,paste,,green,,,,,,E',True,,,,,
47.637,0,Gate,placement,,,,,,,,green,green,paste,True,,,,,,,
47.637,0,Gate,action,,C,1.085,paste,,green,,,,,,E',True,,,,,
51.942,0,Gate,action,,C,1.081,copy,A,yellow,,,,,,,,,,,,
54.795,0,Gate,placement,,,,,,,,yellow,yellow,paste,True,,,,,,,
54.795,0,Gate,action,,C,1.065,paste,,yellow,,,,,,A',True,,,,,
56.727,0,Gate,placement,,,,,,,,yellow,yellow,paste,True,,,,,,,
56.727,0,Gate,action,,C,1.079,paste,,yellow,,,,,,A',True,,,,,
67.088,0,Gate,placement,,,,,,,,yellow,yellow,paste,True,,,,,,,
67.088,0,Gate,action,,C,1.068,paste,,yellow,,,,,,A',True,,,,,
77.729,0,Gate,placement,,,,,,,,yellow,yellow,paste,True,,,,,,,
77.729,0,Gate,action,,C,1.085,paste,,yellow,,,,,,A',True,,,,,
80.415,0,Gate,placement,,,,,,,,yellow,yellow,paste,True,,,,,,,
80.415,0,Gate,action,,C,1.086,paste,,yellow,,,,,,A',True,,,,,
84.395,0,Gate,action,,C,1.072,copy,D,grey,,,,,,,,,,,,
87.183,0,Gate,placement,,,,,,,,grey,grey,paste,True,,,,,,,
87.183,0,Gate,action,,C,1.109,paste,,grey,,,,,,D',True,,,,,
90.002,0,Gate,placement,,,,,,,,grey,grey,paste,True,,,,,,,
90.002,0,Gate,action,,C,1.092,paste,,grey,,,,,,D',True,,,,,
92.077,0,Gate,action,,C,1.091,paste,,grey,,,,,,D',False,,,,,
103.103,0,Gate,action,,Z,1.108,,,,9,,,,,,,,,,,
105.522,0,Gate,placement,,,,,,,,grey,grey,paste,True,,,,,,,
105.522,0,Gate,action,,C,1.083,paste,,grey,,,,,,D',True,,,,,
108.426,0,Gate,placement,,,,,,,,grey,grey,paste,True,,,,,,,
108.426,0,Gate,action,,C,1.086,paste,,grey,,,,,,D',True,,,,,
108.426,0,Gate,task_end,,,,,,,,,,,,,,True,108.399,0,14,0.0
111.019,1,Goalpost,task_start,14,,,,,,,,,,,,,,,,,
114.383,1,Goalpost,task_end,,,,,,,,,,,,,,False,3.364,0,0,0.0
114.384,2,Find Red,task_start,13,,,,,,,,,,,,,,,,,
115.665,2,Find Red,task_end,,,,,,,,,,,,,,False,1.281,0,0,0.0
115.666,4,Cleanup,task_start,10,,,,,,,,,,,,,,,,,
116.617,4,Cleanup,task_end,,,,,,,,,,,,,,False,0.951,0,0,0.0
116.617,5,Sunshine Cleanup,task_start,9,,,,,,,,,,,,,,,,,
118.562,5,Sunshine Cleanup,task_end,,,,,,,,,,,,,,False,1.945,0,0,0.0
118.562,4,Cleanup,task_start,10,,,,,,,,,,,,,,,,,
124.313,4,Cleanup,task_end,,,,,,,,,,,,,,False,5.751,0,0,0.0
