t,task_idx,task_name,event_type,total_slots,action,response_latency_s,subaction,target,kind,expected,actual,source,correct,pasted,snapped,completed,duration_s,misplacements,correct_placements,error_rate,remaining
0.012,0,Practice 1 - Copy & Paste,task_start,3,,,,,,,,,,,,,,,,,
10.422,0,Practice 1 - Copy & Paste,action,,C,0.797,copy,A,red,,,,,,,,,,,,
12.292,0,Practice 1 - Copy & Paste,action,,X,0.795,no_target,,,,,,,,,,,,,,
16.226,0,Practice 1 - Copy & Paste,placement,,,,,,,red,red,paste,True,,,,,,,,
16.226,0,Practice 1 - Copy & Paste,action,,C,0.782,paste,,red,,,,,A',True,,,,,,
19.393,0,Practice 1 - Copy & Paste,placement,,,,,,,red,red,paste,True,,,,,,,,
19.393,0,Practice 1 - Copy & Paste,action,,C,0.781,paste,,red,,,,,A',True,,,,,,
21.755,0,Practice 1 - Copy & Paste,placement,,,,,,,red,red,paste,True,,,,,,,,
21.755,0,Practice 1 - Copy & Paste,action,,C,0.784,paste,,red,,,,,A',True,,,,,,
21.755,0,Practice 1 - Copy & Paste,task_end,,,,,,,,,,,,,True,21.743,0,3,0.0,
24.279,1,Practice 2 - Delete + Drag,task_start,4,,,,,,,,,,,,,,,,,
32.205,1,Practice 2 - Delete + Drag,action,,X,0.826,,b,red,,,,,,,,,,,,
33.832,1,Practice 2 - Delete + Drag,action,,Z,0.818,,,,,,,,,,,,,,,0
39.003,1,Practice 2 - Delete + Drag,action,,X,0.824,,b,red,,,,,,,,,,,,
49.048,1,Practice 2 - Delete + Drag,action,,X,0.825,,c,red,,,,,,,,,,,,
51.098,1,Practice 2 - Delete + Drag,action,,X,0.794,no_target,,,,,,,,,,,,,,
54.465,1,Practice 2 - Delete + Drag,action,,Z,0.8,,,,,,,,,,,,,,,1
63.387,1,Practice 2 - Delete + Drag,action,,X,0.814,,c,red,,,,,,,,,,,,
69.36,1,Practice 2 - Delete + Drag,action,,C,0.79,copy,A,red,,,,,,,,,,,,
72.939,1,Practice 2 - Delete + Drag,action,,C,0.804,copy,B,blue,,,,,,,,,,,,
77.457,1,Practice 2 - Delete + Drag,placement,,,,,,,blue,blue,paste,True,,,,,,,,
77.457,1,Practice 2 - Delete + Drag,action,,C,0.788,paste,,blue,,,,,B',True,,,,,,
79.964,1,Practice 2 - Delete + Drag,placement,,,,,,,blue,blue,paste,True,,,,,,,,
79.964,1,Practice 2 - Delete + Drag,action,,C,0.798,paste,,blue,,,,,B',True,,,,,,
79.964,1,Practice 2 - Delete + Drag,task_end,,,,,,,,,,,,,True,55.685,0,2,0.0,
82.467,2,Practice 1 - Copy & Paste,task_start,3,,,,,,,,,,,,,,,,,
85.913,2,Practice 1 - Copy & Paste,task_end,,,,,,,,,,,,,False,3.446,0,0,0.0,
