t,task_idx,task_name,event_type,total_slots,expected,actual,source,correct,action,response_latency_s,target,kind,snapped,completed,duration_s,misplacements,correct_placements,error_rate
0.029,0,Practice 1 - Drag Three,task_start,3,,,,,,,,,,,,,,
7.602,0,Practice 1 - Drag Three,placement,,red,red,drag,True,,,,,,,,,,
7.602,0,Practice 1 - Drag Three,action,,,,,,drag,2.307,A,red,True,,,,,
10.664,0,Practice 1 - Drag Three,action,,,,,,drag,1.659,D,red,False,,,,,
13.723,0,Practice 1 - Drag Three,placement,,red,red,drag,True,,,,,,,,,,
13.723,0,Practice 1 - Drag Three,action,,,,,,drag,1.062,D,red,True,,,,,
17.285,0,Practice 1 - Drag Three,placement,,red,red,drag,True,,,,,,,,,,
17.285,0,Practice 1 - Drag Three,action,,,,,,drag,1.105,G,red,True,,,,,
20.692,0,Practice 1 - Drag Three,action,,,,,,drag,1.247,D,red,False,,,,,
25.478,0,Practice 1 - Drag Three,placement,,red,red,drag,True,,,,,,,,,,
25.478,0,Practice 1 - Drag Three,action,,,,,,drag,0.804,G,red,True,,,,,
26.777,0,Practice 1 - Drag Three,placement,,red,red,drag,True,,,,,,,,,,
26.777,0,Practice 1 - Drag Three,action,,,,,,drag,0.7,G,red,True,,,,,
28.997,0,Practice 1 - Drag Three,placement,,red,red,drag,True,,,,,,,,,,
28.997,0,Practice 1 - Drag Three,action,,,,,,drag,1.609,D,red,True,,,,,
28.997,0,Practice 1 - Drag Three,task_end,,,,,,,,,,,True,28.968,0,6,0.0
31.555,1,Practice 2 - Drag Replace,task_start,4,,,,,,,,,,,,,,
36.038,1,Practice 2 - Drag Replace,action,,,,,,drag,1.817,b,red,False,,,,,
39.813,1,Practice 2 - Drag Replace,placement,,blue,red,drag,False,,,,,,,,,,
39.813,1,Practice 2 - Drag Replace,action,,,,,,drag,0.091,c,red,True,,,,,
44.23,1,Practice 2 - Drag Replace,action,,,,,,drag,2.068,c,red,False,,,,,
46.868,1,Practice 2 - Drag Replace,placement,,blue,blue,drag,True,,,,,,,,,,
46.868,1,Practice 2 - Drag Replace,action,,,,,,drag,1.54,D,blue,True,,,,,
50.673,1,Practice 2 - Drag Replace,placement,,blue,blue,drag,True,,,,,,,,,,
50.673,1,Practice 2 - Drag Replace,action,,,,,,drag,2.192,A,blue,True,,,,,
50.673,1,Practice 2 - Drag Replace,task_end,,,,,,,,,,,True,19.118,1,2,0.333
53.185,2,Practice 1 - Drag Three,task_start,3,,,,,,,,,,,,,,
59.44,2,Practice 1 - Drag Three,task_end,,,,,,,,,,,False,6.255,0,0,0.0
