t,task_idx,task_name,event_type,total_slots,count,action,response_latency_s,target,kind,snapped,from_mode,to_mode,commit_latency_s,subaction,expected,actual,source,correct,pasted,completed,duration_s,misplacements,correct_placements,error_rate
0.051,0,Gate,task_start,14,,,,,,,,,,,,,,,,,,,,
15.931,0,Gate,panel_open,,1,,,,,,,,,,,,,,,,,,,
18.859,0,Gate,action,,,drag,0.125,A,green,False,,,,,,,,,,,,,,
22.208,0,Gate,mode_change,,,,,,,,open,C,1.055,,,,,,,,,,,
23.144,0,Gate,action,,,C,0.0,A,green,,,,,copy,,,,,,,,,,
27.996,0,Gate,placement,,,,,,,,,,,,green,green,paste,True,,,,,,
27.996,0,Gate,action,,,C,0.0,,green,True,,,,paste,,,,,A',,,,,
29.831,0,Gate,placement,,,,,,,,,,,,grey,green,paste,False,,,,,,
29.831,0,Gate,action,,,C,0.0,,green,True,,,,paste,,,,,A',,,,,
33.151,0,Gate,placement,,,,,,,,,,,,grey,green,paste,False,,,,,,
33.151,0,Gate,action,,,C,0.0,,green,True,,,,paste,,,,,A',,,,,
35.026,0,Gate,placement,,,,,,,,,,,,yellow,green,paste,False,,,,,,
35.026,0,Gate,action,,,C,0.0,,green,True,,,,paste,,,,,A',,,,,
36.662,0,Gate,placement,,,,,,,,,,,,yellow,green,paste,False,,,,,,
36.662,0,Gate,action,,,C,0.0,,green,True,,,,paste,,,,,A',,,,,
39.432,0,Gate,placement,,,,,,,,,,,,yellow,green,paste,False,,,,,,
39.432,0,Gate,action,,,C,0.0,,green,True,,,,paste,,,,,A',,,,,
41.831,0,Gate,task_end,,,,,,,,,,,,,,,,,False,41.779,5,1,0.833
