t,task_idx,task_name,event_type,total_slots,count,action,response_latency_s,subaction,target,kind,expected,actual,source,correct,pasted,snapped,completed,duration_s,misplacements,correct_placements,error_rate
0.026,0,Gate,task_start,14,,,,,,,,,,,,,,,,,
5.939,0,Gate,panel_open,,1,,,,,,,,,,,,,,,,
6.73,0,Gate,panel_open,,2,,,,,,,,,,,,,,,,
18.876,0,Gate,panel_open,,3,,,,,,,,,,,,,,,,
26.832,0,Gate,action,,,C,1.09,copy,B,yellow,,,,,,,,,,,
31.017,0,Gate,placement,,,,,,,,yellow,yellow,paste,True,,,,,,,
31.017,0,Gate,action,,,C,2.293,paste,,yellow,,,,,B',True,,,,,
33.268,0,Gate,placement,,,,,,,,yellow,yellow,paste,True,,,,,,,
33.268,0,Gate,action,,,C,1.056,paste,,yellow,,,,,B',True,,,,,
39.809,0,Gate,placement,,,,,,,,yellow,yellow,paste,True,,,,,,,
39.809,0,Gate,action,,,C,1.107,paste,,yellow,,,,,B',True,,,,,
42.927,0,Gate,placement,,,,,,,,yellow,yellow,paste,True,,,,,,,
42.927,0,Gate,action,,,C,1.083,paste,,yellow,,,,,B',True,,,,,
45.237,0,Gate,placement,,,,,,,,yellow,yellow,paste,True,,,,,,,
45.237,0,Gate,action,,,C,1.089,paste,,yellow,,,,,B',True,,,,,
51.334,0,Gate,task_end,,,,,,,,,,,,,,False,51.308,0,5,0.0
