t,task_idx,task_name,event_type,total_slots,action,response_latency_s,subaction,count,target,kind,completed,duration_s,misplacements,correct_placements,error_rate
0.029,0,Gate,task_start,14,,,,,,,,,,,
5.196,0,Gate,action,,Z,1.216,empty_history,,,,,,,,
10.511,0,Gate,action,,C,1.153,empty_clipboard,,,,,,,,
15.28,0,Gate,action,,Z,1.134,empty_history,,,,,,,,
21.674,0,Gate,action,,C,1.134,no_target,,,,,,,,
24.505,0,Gate,action,,Z,1.189,empty_history,,,,,,,,
29.764,0,Gate,action,,X,1.209,no_target,,,,,,,,
33.725,0,Gate,action,,X,1.234,no_target,,,,,,,,
37.864,0,Gate,action,,X,1.227,no_target,,,,,,,,
45.233,0,Gate,action,,Z,1.154,empty_history,,,,,,,,
47.946,0,Gate,action,,X,1.171,no_target,,,,,,,,
53.701,0,Gate,panel_open,,,,,1,,,,,,,
64.133,0,Gate,action,,X,1.059,,,D,grey,,,,,
67.4,0,Gate,action,,X,1.058,,,A,green,,,,,
70.303,0,Gate,task_end,,,,,,,,False,70.274,0,0,0.0
70.303,0,Gate,task_start,14,,,,,,,,,,,
71.117,0,Gate,task_end,,,,,,,,False,0.814,0,0,0.0
71.117,0,Gate,task_start,14,,,,,,,,,,,
72.044,0,Gate,task_end,,,,,,,,False,0.927,0,0,0.0
