t,task_idx,task_name,event_type,total_slots,completed,duration_s,misplacements,correct_placements,error_rate
0.081,0,Gate,task_start,14,,,,,
3.788,0,Gate,task_end,,False,3.707,0,0,0.0
3.789,1,Goalpost,task_start,14,,,,,
4.623,1,Goalpost,task_end,,False,0.834,0,0,0.0
4.623,2,Find Red,task_start,13,,,,,
5.288,2,Find Red,task_end,,False,0.665,0,0,0.0
5.288,3,Find Two,task_start,12,,,,,
5.802,3,Find Two,task_end,,False,0.514,0,0,0.0
5.802,4,Cleanup,task_start,10,,,,,
7.095,4,Cleanup,task_end,,False,1.293,0,0,0.0
7.095,5,Sunshine Cleanup,task_start,9,,,,,
10.534,5,Sunshine Cleanup,task_end,,False,3.439,0,0,0.0
