t,task_idx,task_name,event_type,total_slots,task_type,subtype,completed,timeout,duration_s,misplacements,correct_placements,error_rate,travel_distance,action_count,action,response_latency_s,target,kind,snapped,from_mode,to_mode,commit_latency_s,subaction,pasted,count
0.09,0,Gate,task_start,14,match,,,,,,,,,,,,,,,,,,,,
10.668,0,Gate,task_end,,,,False,False,10.578,0,0,0.0,0.0,0,,,,,,,,,,,
10.669,6,Sort by Color,task_start,18,classify,sort_color,,,,,,,,,,,,,,,,,,,
14.301,6,Sort by Color,action,,,,,,,,,,,,drag,1.13,N,blue,False,,,,,,
14.732,6,Sort by Color,mode_change,,,,,,,,,,,,,,,,,open,C,0.974,,,
15.056,6,Sort by Color,action,,,,,,,,,,,,C,0.0,N,blue,,,,,copy,,
17.547,6,Sort by Color,action,,,,,,,,,,,,C,0.0,,blue,False,,,,paste,N',
19.754,6,Sort by Color,action,,,,,,,,,,,,C,0.0,L,blue,,,,,copy,,
21.24,6,Sort by Color,action,,,,,,,,,,,,C,0.0,N',blue,,,,,copy,,
22.749,6,Sort by Color,action,,,,,,,,,,,,C,0.0,L,blue,,,,,copy,,
24.007,6,Sort by Color,action,,,,,,,,,,,,C,0.0,,blue,False,,,,paste,L',
39.783,6,Sort by Color,action,,,,,,,,,,,,C,0.0,C,green,,,,,copy,,
47.577,6,Sort by Color,action,,,,,,,,,,,,C,0.0,,green,False,,,,paste,C',
49.973,6,Sort by Color,panel_open,,,,,,,,,,,,,,,,,,,,,,1
49.973,6,Sort by Color,action,,,,,,,,,,,,C,0.0,,green,False,,,,paste,C',
52.287,6,Sort by Color,action,,,,,,,,,,,,C,0.0,N,blue,,,,,copy,,
53.031,6,Sort by Color,mode_change,,,,,,,,,,,,,,,,,C,X,1.117,,,
53.659,6,Sort by Color,action,,,,,,,,,,,,X,0.0,N,blue,,,,,,,
55.724,6,Sort by Color,mode_change,,,,,,,,,,,,,,,,,X,C,1.071,,,
56.796,6,Sort by Color,action,,,,,,,,,,,,C,0.0,,blue,False,,,,paste,N',
61.368,6,Sort by Color,task_end,,,,False,False,50.699,0,0,0.0,0.0,0,,,,,,,,,,,
