t,task_idx,task_name,event_type,total_slots,task_type,subtype,completed,timeout,duration_s,misplacements,correct_placements,error_rate,travel_distance,action_count,action,response_latency_s,target,kind,snapped,count,from_mode,to_mode,commit_latency_s,subaction,pasted
0.077,0,Gate,task_start,14,match,,,,,,,,,,,,,,,,,,,,
2.744,0,Gate,task_end,,,,False,False,2.667,0,0,0.0,0.0,0,,,,,,,,,,,
2.745,6,Cleanup & Sort (Easy),task_start,0,classify,cleanup_sort,,,,,,,,,,,,,,,,,,,
7.152,6,Cleanup & Sort (Easy),action,,,,,,,,,,,,drag,0.216,C,grey,False,,,,,,
14.705,6,Cleanup & Sort (Easy),action,,,,,,,,,,,,drag,6.221,C,grey,False,,,,,,
17.319,6,Cleanup & Sort (Easy),action,,,,,,,,,,,,drag,1.418,C,grey,False,,,,,,
19.183,6,Cleanup & Sort (Easy),action,,,,,,,,,,,,drag,1.198,C,grey,False,,,,,,
21.596,6,Cleanup & Sort (Easy),action,,,,,,,,,,,,drag,0.646,C,grey,False,,,,,,
26.206,6,Cleanup & Sort (Easy),panel_open,,,,,,,,,,,,,,,,,1,,,,,
26.313,6,Cleanup & Sort (Easy),mode_change,,,,,,,,,,,,,,,,,,open,C,0.946,,
29.832,6,Cleanup & Sort (Easy),mode_change,,,,,,,,,,,,,,,,,,C,F,1.018,,
34.223,6,Cleanup & Sort (Easy),action,,,,,,,,,,,,F,0.0,,purple,,3,,,,,
35.29,6,Cleanup & Sort (Easy),mode_change,,,,,,,,,,,,,,,,,,F,open,0.959,,
36.983,6,Cleanup & Sort (Easy),panel_open,,,,,,,,,,,,,,,,,2,,,,,
40.923,6,Cleanup & Sort (Easy),mode_change,,,,,,,,,,,,,,,,,,open,X,0.984,,
43.105,6,Cleanup & Sort (Easy),action,,,,,,,,,,,,batch_delete,0.0,,purple,,3,,,,,
46.983,6,Cleanup & Sort (Easy),panel_open,,,,,,,,,,,,,,,,,3,,,,,
54.401,6,Cleanup & Sort (Easy),panel_open,,,,,,,,,,,,,,,,,4,,,,,
58.436,6,Cleanup & Sort (Easy),mode_change,,,,,,,,,,,,,,,,,,X,C,0.971,,
59.498,6,Cleanup & Sort (Easy),action,,,,,,,,,,,,C,0.0,H,grey,,,,,,copy,
62.151,6,Cleanup & Sort (Easy),action,,,,,,,,,,,,C,0.0,,grey,False,,,,,paste,H'
63.746,6,Cleanup & Sort (Easy),action,,,,,,,,,,,,C,0.0,,grey,False,,,,,paste,H'
65.036,6,Cleanup & Sort (Easy),panel_open,,,,,,,,,,,,,,,,,5,,,,,
65.036,6,Cleanup & Sort (Easy),action,,,,,,,,,,,,C,0.0,H',grey,,,,,,copy,
67.62,6,Cleanup & Sort (Easy),mode_change,,,,,,,,,,,,,,,,,,C,F,0.974,,
69.746,6,Cleanup & Sort (Easy),action,,,,,,,,,,,,F,0.0,,grey,,5,,,,,
72.825,6,Cleanup & Sort (Easy),panel_open,,,,,,,,,,,,,,,,,6,,,,,
75.756,6,Cleanup & Sort (Easy),mode_change,,,,,,,,,,,,,,,,,,F,X,1.031,,
76.204,6,Cleanup & Sort (Easy),action,,,,,,,,,,,,batch_delete,0.0,,grey,,5,,,,,
80.698,6,Cleanup & Sort (Easy),task_end,,,,False,False,77.953,0,0,0.0,0.0,0,,,,,,,,,,,
80.698,7,Cleanup & Sort (Hard),task_start,0,classify,cleanup_sort,,,,,,,,,,,,,,,,,,,
87.04,7,Cleanup & Sort (Hard),mode_change,,,,,,,,,,,,,,,,,,X,C,1.127,,
90.972,7,Cleanup & Sort (Hard),action,,,,,,,,,,,,C,0.0,A,blue,,,,,,copy,
92.969,7,Cleanup & Sort (Hard),action,,,,,,,,,,,,C,0.0,A,blue,,,,,,copy,
94.744,7,Cleanup & Sort (Hard),action,,,,,,,,,,,,C,0.0,A,blue,,,,,,copy,
97.625,7,Cleanup & Sort (Hard),task_end,,,,False,False,16.927,0,0,0.0,0.0,0,,,,,,,,,,,
