t,task_idx,task_name,event_type,total_slots,task_type,subtype,completed,timeout,duration_s,misplacements,correct_placements,error_rate,travel_distance,action_count,from_mode,to_mode,commit_latency_s,count,action,response_latency_s,subaction,target,kind,pasted,snapped
0.073,0,Gate,task_start,14,match,,,,,,,,,,,,,,,,,,,,
3.437,0,Gate,task_end,,,,False,False,3.364,0,0,0.0,0.0,0,,,,,,,,,,,
3.438,6,Cleanup & Sort (Easy),task_start,0,classify,cleanup_sort,,,,,,,,,,,,,,,,,,,
17.113,6,Cleanup & Sort (Easy),mode_change,,,,,,,,,,,,open,C,0.999,,,,,,,,
17.655,6,Cleanup & Sort (Easy),panel_open,,,,,,,,,,,,,,,1,,,,,,,
17.655,6,Cleanup & Sort (Easy),action,,,,,,,,,,,,,,,,C,0.0,empty_clipboard,,,,
21.012,6,Cleanup & Sort (Easy),mode_change,,,,,,,,,,,,C,open,1.025,,,,,,,,
29.302,6,Cleanup & Sort (Easy),mode_change,,,,,,,,,,,,open,C,1.003,,,,,,,,
31.357,6,Cleanup & Sort (Easy),panel_open,,,,,,,,,,,,,,,2,,,,,,,
31.357,6,Cleanup & Sort (Easy),action,,,,,,,,,,,,,,,,C,0.0,empty_clipboard,,,,
32.17,6,Cleanup & Sort (Easy),panel_open,,,,,,,,,,,,,,,3,,,,,,,
32.17,6,Cleanup & Sort (Easy),action,,,,,,,,,,,,,,,,C,0.0,empty_clipboard,,,,
35.42,6,Cleanup & Sort (Easy),mode_change,,,,,,,,,,,,C,open,1.04,,,,,,,,
39.587,6,Cleanup & Sort (Easy),mode_change,,,,,,,,,,,,open,C,1.002,,,,,,,,
39.693,6,Cleanup & Sort (Easy),panel_open,,,,,,,,,,,,,,,4,,,,,,,
39.693,6,Cleanup & Sort (Easy),action,,,,,,,,,,,,,,,,C,0.0,empty_clipboard,,,,
41.09,6,Cleanup & Sort (Easy),panel_open,,,,,,,,,,,,,,,5,,,,,,,
41.09,6,Cleanup & Sort (Easy),action,,,,,,,,,,,,,,,,C,0.0,empty_clipboard,,,,
44.723,6,Cleanup & Sort (Easy),action,,,,,,,,,,,,,,,,C,0.0,copy,D,blue,,
45.889,6,Cleanup & Sort (Easy),action,,,,,,,,,,,,,,,,C,0.0,paste,,blue,D',False
47.236,6,Cleanup & Sort (Easy),action,,,,,,,,,,,,,,,,C,0.0,copy,C,blue,,
48.56,6,Cleanup & Sort (Easy),mode_change,,,,,,,,,,,,C,open,0.998,,,,,,,,
53.064,6,Cleanup & Sort (Easy),action,,,,,,,,,,,,,,,,drag,0.224,,C,blue,,False
53.396,6,Cleanup & Sort (Easy),action,,,,,,,,,,,,,,,,drag,0.108,,C,blue,,False
54.269,6,Cleanup & Sort (Easy),action,,,,,,,,,,,,,,,,drag,0.438,,C,blue,,False
55.47,6,Cleanup & Sort (Easy),action,,,,,,,,,,,,,,,,drag,0.874,,C,blue,,False
56.879,6,Cleanup & Sort (Easy),action,,,,,,,,,,,,,,,,drag,0.867,,D',blue,,False
58.73,6,Cleanup & Sort (Easy),action,,,,,,,,,,,,,,,,drag,0.976,,C,blue,,False
60.368,6,Cleanup & Sort (Easy),action,,,,,,,,,,,,,,,,drag,0.989,,D,blue,,False
67.426,6,Cleanup & Sort (Easy),task_end,,,,False,False,63.988,0,0,0.0,0.0,0,,,,,,,,,,,
