t,task_idx,task_name,event_type,total_slots,task_type,subtype,action,response_latency_s,target,kind,snapped,completed,timeout,duration_s,misplacements,correct_placements,error_rate,travel_distance,action_count
0.09,0,Cleanup — Keep Red,task_start,0,classify,cleanup_keep,,,,,,,,,,,,,
12.493,0,Cleanup — Keep Red,action,,,,drag,2.197,I,yellow,False,,,,,,,,
24.029,0,Cleanup — Keep Red,action,,,,trash_drop,1.364,D,yellow,,,,,,,,,
25.38,0,Cleanup — Keep Red,action,,,,drag,0.153,C,blue,False,,,,,,,,
29.981,0,Cleanup — Keep Red,action,,,,drag,1.691,N,blue,False,,,,,,,,
31.029,0,Cleanup — Keep Red,action,,,,drag,0.301,M,blue,False,,,,,,,,
33.923,0,Cleanup — Keep Red,action,,,,drag,1.83,J,red,False,,,,,,,,
38.183,0,Cleanup — Keep Red,action,,,,drag,3.053,X,yellow,False,,,,,,,,
46.798,0,Cleanup — Keep Red,action,,,,drag,0.64,M,blue,False,,,,,,,,
53.821,0,Cleanup — Keep Red,action,,,,drag,1.949,G,yellow,False,,,,,,,,
55.646,0,Cleanup — Keep Red,action,,,,trash_drop,0.458,G,yellow,,,,,,,,,
58.725,0,Cleanup — Keep Red,action,,,,trash_drop,1.503,Q,blue,,,,,,,,,
67.817,0,Cleanup — Keep Red,action,,,,drag,0.575,K,red,False,,,,,,,,
72.94,0,Cleanup — Keep Red,action,,,,drag,1.925,H,blue,False,,,,,,,,
81.234,0,Cleanup — Keep Red,action,,,,drag,1.761,Y,blue,False,,,,,,,,
83.165,0,Cleanup — Keep Red,action,,,,drag,0.89,Y,blue,False,,,,,,,,
84.489,0,Cleanup — Keep Red,action,,,,drag,0.742,Y,blue,False,,,,,,,,
86.565,0,Cleanup — Keep Red,action,,,,drag,0.881,Y,blue,False,,,,,,,,
87.915,0,Cleanup — Keep Red,action,,,,drag,0.609,U,red,False,,,,,,,,
89.99,0,Cleanup — Keep Red,action,,,,drag,1.349,Y,blue,False,,,,,,,,
91.649,0,Cleanup — Keep Red,action,,,,drag,0.743,D,blue,False,,,,,,,,
93.131,0,Cleanup — Keep Red,action,,,,drag,0.733,D,blue,False,,,,,,,,
96.559,0,Cleanup — Keep Red,action,,,,drag,1.935,D,blue,False,,,,,,,,
99.716,0,Cleanup — Keep Red,action,,,,drag,1.058,J,blue,False,,,,,,,,
102.257,0,Cleanup — Keep Red,action,,,,drag,0.899,I,yellow,False,,,,,,,,
103.759,0,Cleanup — Keep Red,action,,,,drag,0.905,I,yellow,False,,,,,,,,
107.758,0,Cleanup — Keep Red,action,,,,drag,3.554,O,blue,False,,,,,,,,
112.161,0,Cleanup — Keep Red,task_end,,,,,,,,,False,False,112.071,0,0,0.0,0.0,0
