t,task_idx,task_name,event_type,total_slots,expected,actual,source,correct,action,response_latency_s,target,kind,snapped,completed,duration_s,misplacements,correct_placements,error_rate,count,from_mode,to_mode,commit_latency_s,remaining
0.092,0,Copy: 10 per colour,task_start,40,,,,,,,,,,,,,,,,,,,
30.061,0,Copy: 10 per colour,placement,,green,green,drag,True,,,,,,,,,,,,,,,
30.061,0,Copy: 10 per colour,action,,,,,,drag,3.358,b,green,True,,,,,,,,,,
32.16,0,Copy: 10 per colour,task_end,,,,,,,,,,,False,32.068,0,1,0.0,,,,,
32.16,1,Copy: 6 times each,task_start,24,,,,,,,,,,,,,,,,,,,
34.432,1,Copy: 6 times each,task_end,,,,,,,,,,,False,2.272,0,0,0.0,,,,,
34.433,2,Find: match shades,task_start,8,,,,,,,,,,,,,,,,,,,
77.439,2,Find: match shades,task_end,,,,,,,,,,,False,43.006,0,0,0.0,,,,,
77.44,3,Delete: keep only red,task_start,9,,,,,,,,,,,,,,,,,,,
85.413,3,Delete: keep only red,action,,,,,,drag,0.793,g,yellow,False,,,,,,,,,,
87.53,3,Delete: keep only red,placement,,red,red,drag,True,,,,,,,,,,,,,,,
87.53,3,Delete: keep only red,action,,,,,,drag,0.935,f,red,True,,,,,,,,,,
90.233,3,Delete: keep only red,task_end,,,,,,,,,,,False,12.793,0,1,0.0,,,,,
90.233,4,Undo: restore blocks,task_start,25,,,,,,,,,,,,,,,,,,,
95.856,4,Undo: restore blocks,task_end,,,,,,,,,,,False,5.623,0,0,0.0,,,,,
95.856,4,Undo: restore blocks,task_start,25,,,,,,,,,,,,,,,,,,,
97.455,4,Undo: restore blocks,task_end,,,,,,,,,,,False,1.599,0,0,0.0,,,,,
97.455,3,Delete: keep only red,task_start,9,,,,,,,,,,,,,,,,,,,
100.775,3,Delete: keep only red,task_end,,,,,,,,,,,False,3.32,0,0,0.0,,,,,
100.776,4,Undo: restore blocks,task_start,25,,,,,,,,,,,,,,,,,,,
106.373,4,Undo: restore blocks,task_end,,,,,,,,,,,False,5.597,0,0,0.0,,,,,
106.373,3,Delete: keep only red,task_start,9,,,,,,,,,,,,,,,,,,,
112.663,3,Delete: keep only red,placement,,red,red,drag,True,,,,,,,,,,,,,,,
112.663,3,Delete: keep only red,action,,,,,,drag,0.533,h,red,True,,,,,,,,,,
120.413,3,Delete: keep only red,panel_open,,,,,,,,,,,,,,,,1,,,,
123.673,3,Delete: keep only red,mode_change,,,,,,,,,,,,,,,,,open,X,1.177,
125.838,3,Delete: keep only red,action,,,,,,X,0.0,j,blue,,,,,,,,,,,
126.74,3,Delete: keep only red,action,,,,,,X,0.0,e,blue,,,,,,,,,,,
128.385,3,Delete: keep only red,action,,,,,,X,0.0,i,red,,,,,,,,,,,
129.288,3,Delete: keep only red,action,,,,,,X,0.0,d,blue,,,,,,,,,,,
130.555,3,Delete: keep only red,action,,,,,,X,0.0,h,yellow,,,,,,,,,,,
131.179,3,Delete: keep only red,action,,,,,,X,0.0,c,blue,,,,,,,,,,,
132.286,3,Delete: keep only red,action,,,,,,X,0.0,g,red,,,,,,,,,,,
136.335,3,Delete: keep only red,action,,,,,,X,0.0,i,blue,,,,,,,,,,,
137.543,3,Delete: keep only red,action,,,,,,X,0.0,h,red,,,,,,,,,,,
139.839,3,Delete: keep only red,action,,,,,,X,0.0,c,yellow,,,,,,,,,,,
142.539,3,Delete: keep only red,action,,,,,,X,0.0,g,yellow,,,,,,,,,,,
146.023,3,Delete: keep only red,action,,,,,,X,0.0,b,yellow,,,,,,,,,,,
147.671,3,Delete: keep only red,task_end,,,,,,,,,,,False,41.298,0,1,0.0,,,,,
147.671,4,Undo: restore blocks,task_start,25,,,,,,,,,,,,,,,,,,,
161.695,4,Undo: restore blocks,panel_open,,,,,,,,,,,,,,,,2,,,,
166.457,4,Undo: restore blocks,mode_change,,,,,,,,,,,,,,,,,X,Z,1.197,
168.79,4,Undo: restore blocks,action,,,,,,Z,0.0,,,,,,,,,,,,,15
169.438,4,Undo: restore blocks,action,,,,,,Z,0.0,,,,,,,,,,,,,14
170.473,4,Undo: restore blocks,action,,,,,,Z,0.0,,,,,,,,,,,,,13
170.998,4,Undo: restore blocks,action,,,,,,Z,0.0,,,,,,,,,,,,,12
171.523,4,Undo: restore blocks,action,,,,,,Z,0.0,,,,,,,,,,,,,11
172.056,4,Undo: restore blocks,action,,,,,,Z,0.0,,,,,,,,,,,,,10
172.58,4,Undo: restore blocks,action,,,,,,Z,0.0,,,,,,,,,,,,,9
173.107,4,Undo: restore blocks,action,,,,,,Z,0.0,,,,,,,,,,,,,8
173.505,4,Undo: restore blocks,action,,,,,,Z,0.0,,,,,,,,,,,,,7
173.898,4,Undo: restore blocks,action,,,,,,Z,0.0,,,,,,,,,,,,,6
174.429,4,Undo: restore blocks,action,,,,,,Z,0.0,,,,,,,,,,,,,5
174.948,4,Undo: restore blocks,action,,,,,,Z,0.0,,,,,,,,,,,,,4
175.347,4,Undo: restore blocks,action,,,,,,Z,0.0,,,,,,,,,,,,,3
175.738,4,Undo: restore blocks,action,,,,,,Z,0.0,,,,,,,,,,,,,2
263.951,4,Undo: restore blocks,task_end,,,,,,,,,,,False,116.28,0,0,0.0,,,,,
263.951,0,Copy: 10 per colour,task_start,40,,,,,,,,,,,,,,,,,,,
267.938,0,Copy: 10 per colour,task_end,,,,,,,,,,,False,3.987,0,0,0.0,,,,,
