t,task_idx,task_name,event_type,total_slots,action,response_latency_s,target,kind,snapped,from_mode,to_mode,commit_latency_s,subaction,expected,actual,source,correct,pasted,completed,duration_s,misplacements,correct_placements,error_rate,count,blocked
0.103,0,Copy: 10 per box,task_start,40,,,,,,,,,,,,,,,,,,,,,
58.207,0,Copy: 10 per box,action,,drag,0.323,A,blue,False,,,,,,,,,,,,,,,,
62.079,0,Copy: 10 per box,mode_change,,,,,,,open,C,1.415,,,,,,,,,,,,,
64.029,0,Copy: 10 per box,action,,C,0.0,A,blue,,,,,copy,,,,,,,,,,,,
67.838,0,Copy: 10 per box,placement,,,,,,,,,,,blue,blue,paste,True,,,,,,,,
67.838,0,Copy: 10 per box,action,,C,0.0,,blue,True,,,,paste,,,,,A',,,,,,,
69.158,0,Copy: 10 per box,placement,,,,,,,,,,,blue,blue,paste,True,,,,,,,,
69.159,0,Copy: 10 per box,action,,C,0.0,,blue,True,,,,paste,,,,,A',,,,,,,
70.3,0,Copy: 10 per box,placement,,,,,,,,,,,blue,blue,paste,True,,,,,,,,
70.3,0,Copy: 10 per box,action,,C,0.0,,blue,True,,,,paste,,,,,A',,,,,,,
71.629,0,Copy: 10 per box,placement,,,,,,,,,,,blue,blue,paste,True,,,,,,,,
71.629,0,Copy: 10 per box,action,,C,0.0,,blue,True,,,,paste,,,,,A',,,,,,,
73.116,0,Copy: 10 per box,placement,,,,,,,,,,,blue,blue,paste,True,,,,,,,,
73.116,0,Copy: 10 per box,action,,C,0.0,,blue,True,,,,paste,,,,,A',,,,,,,
74.101,0,Copy: 10 per box,placement,,,,,,,,,,,blue,blue,paste,True,,,,,,,,
74.101,0,Copy: 10 per box,action,,C,0.0,,blue,True,,,,paste,,,,,A',,,,,,,
75.092,0,Copy: 10 per box,placement,,,,,,,,,,,blue,blue,paste,True,,,,,,,,
75.092,0,Copy: 10 per box,action,,C,0.0,,blue,True,,,,paste,,,,,A',,,,,,,
76.75,0,Copy: 10 per box,placement,,,,,,,,,,,blue,blue,paste,True,,,,,,,,
76.75,0,Copy: 10 per box,action,,C,0.0,,blue,True,,,,paste,,,,,A',,,,,,,
78.248,0,Copy: 10 per box,placement,,,,,,,,,,,blue,blue,paste,True,,,,,,,,
78.248,0,Copy: 10 per box,action,,C,0.0,,blue,True,,,,paste,,,,,A',,,,,,,
80.145,0,Copy: 10 per box,task_end,,,,,,,,,,,,,,,,False,80.042,0,9,0.0,,
80.145,1,Copy: 6 times each,task_start,24,,,,,,,,,,,,,,,,,,,,,
91.177,1,Copy: 6 times each,action,,C,0.0,A,pink,,,,,copy,,,,,,,,,,,,
92.525,1,Copy: 6 times each,placement,,,,,,,,,,,pink,pink,paste,True,,,,,,,,
92.525,1,Copy: 6 times each,action,,C,0.0,,pink,True,,,,paste,,,,,A',,,,,,,
93.728,1,Copy: 6 times each,placement,,,,,,,,,,,pink,pink,paste,True,,,,,,,,
93.728,1,Copy: 6 times each,action,,C,0.0,,pink,True,,,,paste,,,,,A',,,,,,,
95.555,1,Copy: 6 times each,task_end,,,,,,,,,,,,,,,,False,15.41,0,2,0.0,,
95.555,2,Find: match shades,task_start,8,,,,,,,,,,,,,,,,,,,,,
153.771,2,Find: match shades,task_end,,,,,,,,,,,,,,,,False,58.216,0,0,0.0,,
153.771,3,Delete: keep only red,task_start,9,,,,,,,,,,,,,,,,,,,,,
161.545,3,Delete: keep only red,panel_open,,,,,,,,,,,,,,,,,,,,,1,
161.545,3,Delete: keep only red,action,,C,0.0,,,,,,,empty_clipboard,,,,,,,,,,,,
164.713,3,Delete: keep only red,mode_change,,,,,,,C,X,1.221,,,,,,,,,,,,,
169.092,3,Delete: keep only red,action,,X,0.0,m,red,,,,,,,,,,,,,,,,,True
169.884,3,Delete: keep only red,action,,X,0.0,m,red,,,,,,,,,,,,,,,,,True
171.466,3,Delete: keep only red,action,,X,0.0,c,yellow,,,,,,,,,,,,,,,,,
172.249,3,Delete: keep only red,action,,X,0.0,n,yellow,,,,,,,,,,,,,,,,,
173.275,3,Delete: keep only red,action,,X,0.0,m,red,,,,,,,,,,,,,,,,,True
173.783,3,Delete: keep only red,action,,X,0.0,m,red,,,,,,,,,,,,,,,,,True
250.26,3,Delete: keep only red,task_end,,,,,,,,,,,,,,,,False,96.489,0,0,0.0,,
250.261,4,Undo: restore blocks,task_start,25,,,,,,,,,,,,,,,,,,,,,
250.5,4,Undo: restore blocks,task_end,,,,,,,,,,,,,,,,False,0.239,0,0,0.0,,
250.5,1,Copy: 6 times each,task_start,24,,,,,,,,,,,,,,,,,,,,,
255.094,1,Copy: 6 times each,task_end,,,,,,,,,,,,,,,,False,4.594,0,0,0.0,,
