t,task_idx,task_name,event_type,total_slots,completed,duration_s,misplacements,correct_placements,error_rate,count,from_mode,to_mode,commit_latency_s,action,response_latency_s,kind,subaction,blocked,target
0.093,0,Copy: 10 per box,task_start,40,,,,,,,,,,,,,,,
4.731,0,Copy: 10 per box,task_end,,False,4.638,0,0,0.0,,,,,,,,,,
4.731,2,Find: match shades,task_start,8,,,,,,,,,,,,,,,
13.191,2,Find: match shades,panel_open,,,,,,,1,,,,,,,,,
15.871,2,Find: match shades,mode_change,,,,,,,,open,F,1.193,,,,,,
15.871,2,Find: match shades,action,,,,,,,2,,,,F,0.0,b7,,,
17.47,2,Find: match shades,action,,,,,,,2,,,,F,0.0,b7,,,
18.265,2,Find: match shades,action,,,,,,,2,,,,F,0.0,b6,,,
21.382,2,Find: match shades,action,,,,,,,2,,,,F,0.0,b8,,,
22.277,2,Find: match shades,action,,,,,,,2,,,,F,0.0,b8,,,
23.052,2,Find: match shades,action,,,,,,,2,,,,F,0.0,b7,,,
23.844,2,Find: match shades,action,,,,,,,2,,,,F,0.0,b7,,,
25.442,2,Find: match shades,action,,,,,,,2,,,,F,0.0,b5,,,
26.642,2,Find: match shades,action,,,,,,,2,,,,F,0.0,b5,,,
28.332,2,Find: match shades,action,,,,,,,2,,,,F,0.0,b5,,,
29.157,2,Find: match shades,action,,,,,,,2,,,,F,0.0,b4,,,
30.002,2,Find: match shades,action,,,,,,,2,,,,F,0.0,b4,,,
30.941,2,Find: match shades,action,,,,,,,2,,,,F,0.0,b5,,,
31.848,2,Find: match shades,action,,,,,,,2,,,,F,0.0,b5,,,
33.142,2,Find: match shades,action,,,,,,,2,,,,F,0.0,b4,,,
38.611,2,Find: match shades,task_end,,False,33.88,0,0,0.0,,,,,,,,,,
38.611,4,Undo: restore blocks,task_start,25,,,,,,,,,,,,,,,
40.862,4,Undo: restore blocks,mode_change,,,,,,,,F,C,1.152,,,,,,
42.254,4,Undo: restore blocks,panel_open,,,,,,,2,,,,,,,,,
42.254,4,Undo: restore blocks,action,,,,,,,,,,,C,0.0,,empty_clipboard,,
44.995,4,Undo: restore blocks,mode_change,,,,,,,,C,X,1.217,,,,,,
44.995,4,Undo: restore blocks,action,,,,,,,,,,,X,0.0,red,,True,i
46.477,4,Undo: restore blocks,action,,,,,,,,,,,X,0.0,red,,True,o
51.767,4,Undo: restore blocks,task_end,,False,13.156,0,0,0.0,,,,,,,,,,
