t,task_idx,task_name,event_type,total_slots,completed,duration_s,misplacements,correct_placements,error_rate,action,response_latency_s,blocked,target,kind
0.093,0,Place: 10 per box,task_start,40,,,,,,,,,,
5.169,0,Place: 10 per box,task_end,,False,5.076,0,0,0.0,,,,,
5.17,1,Place: 6 per row,task_start,24,,,,,,,,,,
5.988,1,Place: 6 per row,task_end,,False,0.818,0,0,0.0,,,,,
5.988,2,Find: match shades,task_start,8,,,,,,,,,,
6.944,2,Find: match shades,task_end,,False,0.956,0,0,0.0,,,,,
6.944,3,Remove non-red,task_start,9,,,,,,,,,,
9.275,3,Remove non-red,task_end,,False,2.331,0,0,0.0,,,,,
9.276,4,Restore: drag bricks back,task_start,25,,,,,,,,,,
12.017,4,Restore: drag bricks back,task_end,,False,2.741,0,0,0.0,,,,,
12.017,3,Remove non-red,task_start,9,,,,,,,,,,
12.504,3,Remove non-red,task_end,,False,0.487,0,0,0.0,,,,,
12.504,4,Restore: drag bricks back,task_start,25,,,,,,,,,,
18.702,4,Restore: drag bricks back,action,,,,,,,drag,0.0,True,m,red
20.137,4,Restore: drag bricks back,action,,,,,,,drag,0.0,True,m,red
21.264,4,Restore: drag bricks back,action,,,,,,,drag,0.0,True,m,red
26.366,4,Restore: drag bricks back,task_end,,False,13.861,0,0,0.0,,,,,
