t,task_idx,task_name,event_type,total_slots,completed,duration_s,misplacements,correct_placements,error_rate,action,response_latency_s,target,kind,snapped
0.093,0,10 blocks in each box,task_start,40,,,,,,,,,,
5.48,0,10 blocks in each box,task_end,,False,5.387,0,0,0.0,,,,,
5.481,3,Keep only red,task_start,10,,,,,,,,,,
40.856,3,Keep only red,task_end,,False,35.375,0,0,0.0,,,,,
40.857,4,Put back all the blocks that you have removed,task_start,49,,,,,,,,,,
42.387,4,Put back all the blocks that you have removed,task_end,,False,1.53,0,0,0.0,,,,,
42.387,3,Keep only red,task_start,10,,,,,,,,,,
44.408,3,Keep only red,task_end,,False,2.021,0,0,0.0,,,,,
44.409,2,Match the blocks,task_start,8,,,,,,,,,,
46.502,2,Match the blocks,task_end,,False,2.093,0,0,0.0,,,,,
46.502,1,Fill each row,task_start,24,,,,,,,,,,
48.159,1,Fill each row,task_end,,False,1.657,0,0,0.0,,,,,
48.159,3,Keep only red,task_start,10,,,,,,,,,,
99.927,3,Keep only red,action,,,,,,,drag,0.177,m,blue,False
293.681,3,Keep only red,task_end,,False,245.522,0,0,0.0,,,,,
