t,task_idx,task_name,event_type,total_slots,completed,duration_s,misplacements,correct_placements,error_rate
0.082,0,10 blocks in each box,task_start,40,,,,,
4.487,0,10 blocks in each box,task_end,,False,4.405,0,0,0.0
4.487,3,Keep only red,task_start,10,,,,,
12.532,3,Keep only red,task_end,,False,8.045,0,0,0.0
12.533,2,Match the blocks,task_start,8,,,,,
14.035,2,Match the blocks,task_end,,False,1.502,0,0,0.0
14.035,3,Keep only red,task_start,10,,,,,
15.265,3,Keep only red,task_end,,False,1.23,0,0,0.0
15.266,2,Match the blocks,task_start,8,,,,,
20.695,2,Match the blocks,task_end,,False,5.429,0,0,0.0
20.695,3,Keep only red,task_start,10,,,,,
45.488,3,Keep only red,task_end,,False,24.793,0,0,0.0
45.489,4,Put back all the blocks that you have removed,task_start,35,,,,,
113.622,4,Put back all the blocks that you have removed,task_end,,False,68.133,0,0,0.0
