t,task_idx,task_name,event_type,total_slots,completed,duration_s,misplacements,correct_placements,error_rate,count,from_mode,to_mode,commit_latency_s,action,response_latency_s,subaction,target,kind,blocked,expected,actual,source,correct,pasted,snapped
0.029,0,Practice 1 - Copy 2x2,task_start,4,,,,,,,,,,,,,,,,,,,,,
4.284,0,Practice 1 - Copy 2x2,task_end,,False,4.255,0,0,0.0,,,,,,,,,,,,,,,,
4.284,1,Practice 2 - Copy 2 times,task_start,4,,,,,,,,,,,,,,,,,,,,,
7.739,1,Practice 2 - Copy 2 times,panel_open,,,,,,,1,,,,,,,,,,,,,,,
9.502,1,Practice 2 - Copy 2 times,mode_change,,,,,,,,open,C,0.692,,,,,,,,,,,,
10.855,1,Practice 2 - Copy 2 times,action,,,,,,,,,,,C,0.0,copy,A,pink,,,,,,,
12.191,1,Practice 2 - Copy 2 times,panel_open,,,,,,,2,,,,,,,,,,,,,,,
12.191,1,Practice 2 - Copy 2 times,action,,,,,,,,,,,C,0.0,over_panel,,,True,,,,,,
13.096,1,Practice 2 - Copy 2 times,panel_open,,,,,,,3,,,,,,,,,,,,,,,
13.096,1,Practice 2 - Copy 2 times,action,,,,,,,,,,,C,0.0,over_panel,,,True,,,,,,
13.672,1,Practice 2 - Copy 2 times,panel_open,,,,,,,4,,,,,,,,,,,,,,,
13.672,1,Practice 2 - Copy 2 times,action,,,,,,,,,,,C,0.0,over_panel,,,True,,,,,,
14.424,1,Practice 2 - Copy 2 times,panel_open,,,,,,,5,,,,,,,,,,,,,,,
14.424,1,Practice 2 - Copy 2 times,action,,,,,,,,,,,C,0.0,over_panel,,,True,,,,,,
29.293,1,Practice 2 - Copy 2 times,action,,,,,,,,,,,C,0.0,copy,A,pink,,,,,,,
49.037,1,Practice 2 - Copy 2 times,action,,,,,,,,,,,C,0.0,copy,A,pink,,,,,,,
50.524,1,Practice 2 - Copy 2 times,placement,,,,,,,,,,,,,,,,,pink,pink,paste,True,,
50.524,1,Practice 2 - Copy 2 times,action,,,,,,,,,,,C,0.0,paste,,pink,,,,,,A',True
54.02,1,Practice 2 - Copy 2 times,panel_open,,,,,,,6,,,,,,,,,,,,,,,
54.02,1,Practice 2 - Copy 2 times,action,,,,,,,,,,,C,0.0,over_panel,,,True,,,,,,
59.858,1,Practice 2 - Copy 2 times,action,,,,,,,,,,,C,0.0,copy,A,pink,,,,,,,
69.39,1,Practice 2 - Copy 2 times,panel_open,,,,,,,7,,,,,,,,,,,,,,,
69.39,1,Practice 2 - Copy 2 times,action,,,,,,,,,,,C,0.0,over_panel,,,True,,,,,,
74.759,1,Practice 2 - Copy 2 times,action,,,,,,,,,,,C,0.0,copy,B,green,,,,,,,
76.385,1,Practice 2 - Copy 2 times,placement,,,,,,,,,,,,,,,,,green,green,paste,True,,
76.385,1,Practice 2 - Copy 2 times,action,,,,,,,,,,,C,0.0,paste,,green,,,,,,B',True
81.208,1,Practice 2 - Copy 2 times,action,,,,,,,,,,,C,0.0,copy,A,pink,,,,,,,
86.459,1,Practice 2 - Copy 2 times,task_end,,False,82.175,0,2,0.0,,,,,,,,,,,,,,,,
86.459,2,Practice 3 - Find shades,task_start,4,,,,,,,,,,,,,,,,,,,,,
87.729,2,Practice 3 - Find shades,task_end,,False,1.27,0,0,0.0,,,,,,,,,,,,,,,,
87.73,3,Practice 4 - Delete non-red,task_start,4,,,,,,,,,,,,,,,,,,,,,
88.691,3,Practice 4 - Delete non-red,task_end,,False,0.961,0,0,0.0,,,,,,,,,,,,,,,,
88.691,4,Practice 5 - Undo restore,task_start,9,,,,,,,,,,,,,,,,,,,,,
89.813,4,Practice 5 - Undo restore,task_end,,False,1.122,0,0,0.0,,,,,,,,,,,,,,,,
