t,task_idx,task_name,event_type,total_slots,count,from_mode,to_mode,commit_latency_s,action,response_latency_s,subaction,target,kind,expected,actual,source,correct,pasted,snapped,completed,duration_s,misplacements,correct_placements,error_rate,blocked
0.028,0,Practice 1 - Copy 2x2,task_start,4,,,,,,,,,,,,,,,,,,,,,
5.425,0,Practice 1 - Copy 2x2,panel_open,,1,,,,,,,,,,,,,,,,,,,,
7.004,0,Practice 1 - Copy 2x2,mode_change,,,open,C,0.721,,,,,,,,,,,,,,,,,
8.318,0,Practice 1 - Copy 2x2,action,,,,,,C,0.0,copy,A,blue,,,,,,,,,,,,
10.359,0,Practice 1 - Copy 2x2,placement,,,,,,,,,,,green,blue,paste,False,,,,,,,,
10.359,0,Practice 1 - Copy 2x2,action,,,,,,C,0.0,paste,,blue,,,,,A',True,,,,,,
11.52,0,Practice 1 - Copy 2x2,placement,,,,,,,,,,,blue,blue,paste,True,,,,,,,,
11.52,0,Practice 1 - Copy 2x2,action,,,,,,C,0.0,paste,,blue,,,,,A',True,,,,,,
12.693,0,Practice 1 - Copy 2x2,placement,,,,,,,,,,,yellow,blue,paste,False,,,,,,,,
12.693,0,Practice 1 - Copy 2x2,action,,,,,,C,0.0,paste,,blue,,,,,A',True,,,,,,
13.817,0,Practice 1 - Copy 2x2,placement,,,,,,,,,,,red,blue,paste,False,,,,,,,,
13.817,0,Practice 1 - Copy 2x2,action,,,,,,C,0.0,paste,,blue,,,,,A',True,,,,,,
20.736,0,Practice 1 - Copy 2x2,task_end,,,,,,,,,,,,,,,,,False,20.708,3,1,0.75,
20.736,1,Practice 2 - Copy 2 times,task_start,4,,,,,,,,,,,,,,,,,,,,,
21.611,1,Practice 2 - Copy 2 times,task_end,,,,,,,,,,,,,,,,,False,0.875,0,0,0.0,
21.612,2,Practice 3 - Find shades,task_start,4,,,,,,,,,,,,,,,,,,,,,
24.126,2,Practice 3 - Find shades,panel_open,,2,,,,,,,,,,,,,,,,,,,,
24.126,2,Practice 3 - Find shades,action,,,,,,C,0.0,over_panel,,,,,,,,,,,,,,True
26.028,2,Practice 3 - Find shades,mode_change,,,C,F,0.791,,,,,,,,,,,,,,,,,
26.116,2,Practice 3 - Find shades,action,,2,,,,F,0.0,,,b5,,,,,,,,,,,,
29.243,2,Practice 3 - Find shades,action,,2,,,,F,0.0,,,b7,,,,,,,,,,,,
31.466,2,Practice 3 - Find shades,task_end,,,,,,,,,,,,,,,,,False,9.854,0,0,0.0,
31.466,2,Practice 3 - Find shades,task_start,4,,,,,,,,,,,,,,,,,,,,,
32.612,2,Practice 3 - Find shades,task_end,,,,,,,,,,,,,,,,,False,1.146,0,0,0.0,
32.613,3,Practice 4 - Delete non-red,task_start,4,,,,,,,,,,,,,,,,,,,,,
35.908,3,Practice 4 - Delete non-red,task_end,,,,,,,,,,,,,,,,,False,3.295,0,0,0.0,
