t,task_idx,task_name,event_type,total_slots,action,response_latency_s,target,kind,snapped,expected,actual,source,correct,completed,duration_s,misplacements,correct_placements,error_rate
0.097,0,10 blocks in each box,task_start,40,,,,,,,,,,,,,,
17.321,0,10 blocks in each box,action,,drag,0.452,X,yellow,False,,,,,,,,,
20.28,0,10 blocks in each box,action,,drag,1.595,X,yellow,False,,,,,,,,,
22.315,0,10 blocks in each box,action,,drag,1.135,W,yellow,False,,,,,,,,,
28.841,0,10 blocks in each box,placement,,,,,,,yellow,yellow,drag,True,,,,,
28.841,0,10 blocks in each box,action,,drag,2.68,W,yellow,True,,,,,,,,,
30.794,0,10 blocks in each box,task_end,,,,,,,,,,,False,30.697,0,1,0.0
30.794,1,Fill each row,task_start,24,,,,,,,,,,,,,,
32.392,1,Fill each row,task_end,,,,,,,,,,,False,1.598,0,0,0.0
32.392,2,Match the blocks,task_start,8,,,,,,,,,,,,,,
33.964,2,Match the blocks,task_end,,,,,,,,,,,False,1.572,0,0,0.0
33.964,3,Keep only red,task_start,10,,,,,,,,,,,,,,
38.703,3,Keep only red,action,,drag,2.524,g,yellow,False,,,,,,,,,
42.871,3,Keep only red,action,,drag,2.239,b,yellow,False,,,,,,,,,
46.213,3,Keep only red,action,,drag,1.591,c,yellow,False,,,,,,,,,
51.288,3,Keep only red,task_end,,,,,,,,,,,False,17.324,0,0,0.0
51.288,4,Put back all the blocks that you have removed,task_start,35,,,,,,,,,,,,,,
63.447,4,Put back all the blocks that you have removed,placement,,,,,,,yellow,yellow,drag,True,,,,,
63.447,4,Put back all the blocks that you have removed,action,,drag,2.826,Q,yellow,True,,,,,,,,,
67.592,4,Put back all the blocks that you have removed,placement,,,,,,,yellow,yellow,drag,True,,,,,
67.592,4,Put back all the blocks that you have removed,action,,drag,2.253,M,yellow,True,,,,,,,,,
72.295,4,Put back all the blocks that you have removed,placement,,,,,,,yellow,yellow,drag,True,,,,,
72.295,4,Put back all the blocks that you have removed,action,,drag,2.063,N,yellow,True,,,,,,,,,
77.29,4,Put back all the blocks that you have removed,placement,,,,,,,yellow,yellow,drag,True,,,,,
77.29,4,Put back all the blocks that you have removed,action,,drag,2.396,S,yellow,True,,,,,,,,,
82.739,4,Put back all the blocks that you have removed,placement,,,,,,,yellow,yellow,drag,True,,,,,
82.739,4,Put back all the blocks that you have removed,action,,drag,3.225,R,yellow,True,,,,,,,,,
88.657,4,Put back all the blocks that you have removed,placement,,,,,,,yellow,yellow,drag,True,,,,,
88.657,4,Put back all the blocks that you have removed,action,,drag,2.755,O,yellow,True,,,,,,,,,
90.959,4,Put back all the blocks that you have removed,task_end,,,,,,,,,,,False,39.671,0,6,0.0
