t,task_idx,task_name,event_type,total_slots,completed,duration_s,misplacements,correct_placements,error_rate,action,response_latency_s,target,kind,snapped,blocked,expected,actual,source,correct
0.03,0,Practice 1 - Place 2x2,task_start,4,,,,,,,,,,,,,,,
20.521,0,Practice 1 - Place 2x2,task_end,,False,20.491,0,0,0.0,,,,,,,,,,
20.522,3,Practice 4 - Remove non-red,task_start,4,,,,,,,,,,,,,,,
23.716,3,Practice 4 - Remove non-red,action,,,,,,,drag,0.656,e,yellow,False,,,,,
25.491,3,Practice 4 - Remove non-red,action,,,,,,,drag,0.0,f,red,,True,,,,
27.56,3,Practice 4 - Remove non-red,action,,,,,,,drag,1.058,e,yellow,False,,,,,
30.079,3,Practice 4 - Remove non-red,action,,,,,,,drag,1.218,c,blue,False,,,,,
31.736,3,Practice 4 - Remove non-red,task_end,,False,11.214,0,0,0.0,,,,,,,,,,
31.736,4,Practice 5 - Restore drag,task_start,9,,,,,,,,,,,,,,,
36.226,4,Practice 5 - Restore drag,placement,,,,,,,,,,,,,blue,blue,drag,True
36.226,4,Practice 5 - Restore drag,action,,,,,,,drag,1.991,A,blue,True,,,,,
38.79,4,Practice 5 - Restore drag,task_end,,False,7.054,0,1,0.0,,,,,,,,,,
