t,task_idx,task_name,event_type,total_slots,count,action,response_latency_s,subaction,target,kind,expected,actual,source,correct,pasted,snapped,completed,duration_s,misplacements,correct_placements,error_rate,remaining
0.014,0,Practice 1 - Copy 2x2,task_start,4,,,,,,,,,,,,,,,,,,
6.197,0,Practice 1 - Copy 2x2,panel_open,,1,,,,,,,,,,,,,,,,,
9.067,0,Practice 1 - Copy 2x2,action,,,C,0.708,copy,A,blue,,,,,,,,,,,,
11.288,0,Practice 1 - Copy 2x2,placement,,,,,,,,blue,blue,paste,True,,,,,,,,
11.288,0,Practice 1 - Copy 2x2,action,,,C,0.697,paste,,blue,,,,,A',True,,,,,,
14.099,0,Practice 1 - Copy 2x2,action,,,C,0.736,copy,B,green,,,,,,,,,,,,
16.42,0,Practice 1 - Copy 2x2,placement,,,,,,,,green,green,paste,True,,,,,,,,
16.42,0,Practice 1 - Copy 2x2,action,,,C,0.68,paste,,green,,,,,B',True,,,,,,
18.447,0,Practice 1 - Copy 2x2,action,,,C,0.699,copy,C,yellow,,,,,,,,,,,,
20.344,0,Practice 1 - Copy 2x2,placement,,,,,,,,yellow,yellow,paste,True,,,,,,,,
20.344,0,Practice 1 - Copy 2x2,action,,,C,0.675,paste,,yellow,,,,,C',True,,,,,,
21.337,0,Practice 1 - Copy 2x2,action,,,drag,0.074,,C,yellow,,,,,,False,,,,,,
22.355,0,Practice 1 - Copy 2x2,action,,,C,0.701,copy,D,red,,,,,,,,,,,,
25.351,0,Practice 1 - Copy 2x2,placement,,,,,,,,red,red,paste,True,,,,,,,,
25.351,0,Practice 1 - Copy 2x2,action,,,C,0.683,paste,,red,,,,,D',True,,,,,,
25.351,0,Practice 1 - Copy 2x2,task_end,,,,,,,,,,,,,,True,25.337,0,4,0.0,
27.914,1,Practice 2 - Copy 2 times,task_start,4,,,,,,,,,,,,,,,,,,
30.063,1,Practice 2 - Copy 2 times,action,,,C,0.661,empty_clipboard,,,,,,,,,,,,,,
31.319,1,Practice 2 - Copy 2 times,action,,,C,0.662,copy,A,pink,,,,,,,,,,,,
33.564,1,Practice 2 - Copy 2 times,placement,,,,,,,,pink,pink,paste,True,,,,,,,,
33.564,1,Practice 2 - Copy 2 times,action,,,C,0.625,paste,,pink,,,,,A',True,,,,,,
35.369,1,Practice 2 - Copy 2 times,placement,,,,,,,,pink,pink,paste,True,,,,,,,,
35.369,1,Practice 2 - Copy 2 times,action,,,C,0.653,paste,,pink,,,,,A',True,,,,,,
37.234,1,Practice 2 - Copy 2 times,action,,,C,0.65,no_target,,,,,,,,,,,,,,
40.873,1,Practice 2 - Copy 2 times,action,,,C,0.625,copy,B,green,,,,,,,,,,,,
43.127,1,Practice 2 - Copy 2 times,placement,,,,,,,,green,green,paste,True,,,,,,,,
43.127,1,Practice 2 - Copy 2 times,action,,,C,0.623,paste,,green,,,,,B',True,,,,,,
44.809,1,Practice 2 - Copy 2 times,placement,,,,,,,,green,green,paste,True,,,,,,,,
44.809,1,Practice 2 - Copy 2 times,action,,,C,0.648,paste,,green,,,,,B',True,,,,,,
44.809,1,Practice 2 - Copy 2 times,task_end,,,,,,,,,,,,,,True,16.895,0,4,0.0,
47.332,2,Practice 3 - Find shades,task_start,4,,,,,,,,,,,,,,,,,,
50.313,2,Practice 3 - Find shades,action,,,C,0.76,copy,A,b5,,,,,,,,,,,,
52.922,2,Practice 3 - Find shades,placement,,,,,,,,b5,b5,paste,True,,,,,,,,
52.922,2,Practice 3 - Find shades,action,,,C,0.75,paste,,b5,,,,,A',True,,,,,,
55.781,2,Practice 3 - Find shades,action,,,C,0.739,copy,B,b1,,,,,,,,,,,,
58.448,2,Practice 3 - Find shades,placement,,,,,,,,b1,b1,paste,True,,,,,,,,
58.448,2,Practice 3 - Find shades,action,,,C,0.754,paste,,b1,,,,,B',True,,,,,,
61.178,2,Practice 3 - Find shades,action,,,C,0.925,copy,D,b3,,,,,,,,,,,,
63.927,2,Practice 3 - Find shades,placement,,,,,,,,b3,b3,paste,True,,,,,,,,
63.927,2,Practice 3 - Find shades,action,,,C,0.988,paste,,b3,,,,,D',True,,,,,,
65.469,2,Practice 3 - Find shades,action,,,Z,0.786,,,,,,,,,,,,,,,2
68.977,2,Practice 3 - Find shades,action,,,Z,0.753,,,,,,,,,,,,,,,1
73.248,2,Practice 3 - Find shades,task_end,,,,,,,,,,,,,,False,25.916,0,3,0.0,
73.248,2,Practice 3 - Find shades,task_start,4,,,,,,,,,,,,,,,,,,
74.486,2,Practice 3 - Find shades,task_end,,,,,,,,,,,,,,False,1.238,0,0,0.0,
74.487,3,Practice 4 - Delete non-red,task_start,4,,,,,,,,,,,,,,,,,,
75.166,3,Practice 4 - Delete non-red,task_end,,,,,,,,,,,,,,False,0.679,0,0,0.0,
75.166,4,Practice 5 - Undo restore,task_start,9,,,,,,,,,,,,,,,,,,
77.128,4,Practice 5 - Undo restore,task_end,,,,,,,,,,,,,,False,1.962,0,0,0.0,
