t,task_idx,task_name,event_type,total_slots,action,response_latency_s,subaction,count,target,kind,expected,actual,source,correct,pasted,snapped,completed,duration_s,misplacements,correct_placements,error_rate,remaining
0.014,0,Practice 1 - Copy 2x2,task_start,4,,,,,,,,,,,,,,,,,,
12.488,0,Practice 1 - Copy 2x2,action,,X,0.656,no_target,,,,,,,,,,,,,,,
15.84,0,Practice 1 - Copy 2x2,panel_open,,,,,1,,,,,,,,,,,,,,
20.3,0,Practice 1 - Copy 2x2,action,,Z,0.748,empty_history,,,,,,,,,,,,,,,
32.312,0,Practice 1 - Copy 2x2,action,,X,0.757,no_target,,,,,,,,,,,,,,,
34.401,0,Practice 1 - Copy 2x2,panel_open,,,,,2,,,,,,,,,,,,,,
37.345,0,Practice 1 - Copy 2x2,action,,C,0.667,copy,,A,blue,,,,,,,,,,,,
40.816,0,Practice 1 - Copy 2x2,placement,,,,,,,,blue,blue,paste,True,,,,,,,,
40.816,0,Practice 1 - Copy 2x2,action,,C,0.658,paste,,,blue,,,,,A',True,,,,,,
42.751,0,Practice 1 - Copy 2x2,task_end,,,,,,,,,,,,,,False,42.737,0,1,0.0,
42.752,1,Practice 2 - Copy 2 times,task_start,4,,,,,,,,,,,,,,,,,,
43.357,1,Practice 2 - Copy 2 times,action,,X,0.728,no_target,,,,,,,,,,,,,,,
44.911,1,Practice 2 - Copy 2 times,task_end,,,,,,,,,,,,,,False,2.159,0,0,0.0,
44.912,2,Practice 3 - Find shades,task_start,4,,,,,,,,,,,,,,,,,,
47.042,2,Practice 3 - Find shades,task_end,,,,,,,,,,,,,,False,2.13,0,0,0.0,
47.043,3,Practice 4 - Delete non-red,task_start,4,,,,,,,,,,,,,,,,,,
47.754,3,Practice 4 - Delete non-red,task_end,,,,,,,,,,,,,,False,0.711,0,0,0.0,
47.754,2,Practice 3 - Find shades,task_start,4,,,,,,,,,,,,,,,,,,
51.708,2,Practice 3 - Find shades,action,,C,0.742,copy,,A,b5,,,,,,,,,,,,
54.509,2,Practice 3 - Find shades,placement,,,,,,,,b3,b5,paste,False,,,,,,,,
54.509,2,Practice 3 - Find shades,action,,C,0.721,paste,,,b5,,,,,A',True,,,,,,
58.166,2,Practice 3 - Find shades,placement,,,,,,,,b1,b5,paste,False,,,,,,,,
58.166,2,Practice 3 - Find shades,action,,C,0.733,paste,,,b5,,,,,A',True,,,,,,
59.36,2,Practice 3 - Find shades,task_end,,,,,,,,,,,,,,False,11.606,2,0,1.0,
59.361,3,Practice 4 - Delete non-red,task_start,4,,,,,,,,,,,,,,,,,,
63.163,3,Practice 4 - Delete non-red,panel_open,,,,,3,,,,,,,,,,,,,,
67.99,3,Practice 4 - Delete non-red,action,,X,0.693,,,e,yellow,,,,,,,,,,,,
72.775,3,Practice 4 - Delete non-red,action,,X,0.675,,,a,blue,,,,,,,,,,,,
74.194,3,Practice 4 - Delete non-red,task_end,,,,,,,,,,,,,,False,14.833,0,0,0.0,
74.194,4,Practice 5 - Undo restore,task_start,9,,,,,,,,,,,,,,,,,,
74.779,4,Practice 5 - Undo restore,action,,X,0.773,no_target,,,,,,,,,,,,,,,
77.94,4,Practice 5 - Undo restore,action,,Z,0.667,,,,,,,,,,,,,,,,4
79.543,4,Practice 5 - Undo restore,action,,Z,0.697,,,,,,,,,,,,,,,,3
81.768,4,Practice 5 - Undo restore,action,,Z,0.684,,,,,,,,,,,,,,,,2
83.321,4,Practice 5 - Undo restore,task_end,,,,,,,,,,,,,,False,9.127,0,0,0.0,
