t,task_idx,task_name,event_type,total_slots,from_mode,to_mode,commit_latency_s,completed,duration_s,misplacements,correct_placements,error_rate,count,action,response_latency_s,blocked,subaction,target,kind,remaining
0.031,0,Practice 1 - Copy 2x2,task_start,4,,,,,,,,,,,,,,,,
12.018,0,Practice 1 - Copy 2x2,mode_change,,open,Z,0.68,,,,,,,,,,,,,
48.553,0,Practice 1 - Copy 2x2,task_end,,,,,False,48.522,0,0,0.0,,,,,,,,
48.553,3,Practice 4 - Delete non-red,task_start,4,,,,,,,,,,,,,,,,
51.76,3,Practice 4 - Delete non-red,panel_open,,,,,,,,,,1,,,,,,,
51.76,3,Practice 4 - Delete non-red,action,,,,,,,,,,,Z,0.0,True,over_panel,,,
53.667,3,Practice 4 - Delete non-red,mode_change,,Z,X,0.751,,,,,,,,,,,,,
56.327,3,Practice 4 - Delete non-red,action,,,,,,,,,,,X,0.0,True,,h,red,
57.131,3,Practice 4 - Delete non-red,mode_change,,X,Z,0.721,,,,,,,,,,,,,
60.226,3,Practice 4 - Delete non-red,mode_change,,Z,X,0.674,,,,,,,,,,,,,
60.885,3,Practice 4 - Delete non-red,action,,,,,,,,,,,X,0.0,,,e,yellow,
62.14,3,Practice 4 - Delete non-red,action,,,,,,,,,,,X,0.0,,,i,blue,
62.856,3,Practice 4 - Delete non-red,action,,,,,,,,,,,X,0.0,True,,f,red,
63.553,3,Practice 4 - Delete non-red,action,,,,,,,,,,,X,0.0,True,,f,red,
64.167,3,Practice 4 - Delete non-red,action,,,,,,,,,,,X,0.0,,,c,blue,
65.412,3,Practice 4 - Delete non-red,action,,,,,,,,,,,X,0.0,True,,d,red,
66.072,3,Practice 4 - Delete non-red,action,,,,,,,,,,,X,0.0,,,a,blue,
67.139,3,Practice 4 - Delete non-red,task_end,,,,,False,18.586,0,0,0.0,,,,,,,,
67.139,4,Practice 5 - Undo restore,task_start,9,,,,,,,,,,,,,,,,
69.417,4,Practice 5 - Undo restore,mode_change,,X,Z,0.661,,,,,,,,,,,,,
73.564,4,Practice 5 - Undo restore,action,,,,,,,,,,,Z,0.0,,,,,3
73.903,4,Practice 5 - Undo restore,action,,,,,,,,,,,Z,0.0,,,,,2
74.466,4,Practice 5 - Undo restore,action,,,,,,,,,,,Z,0.0,,,,,1
75.022,4,Practice 5 - Undo restore,action,,,,,,,,,,,Z,0.0,,,,,0
75.022,4,Practice 5 - Undo restore,task_end,,,,,True,7.883,0,0,0.0,,,,,,,,
77.572,5,Practice 1 - Copy 2x2,task_start,4,,,,,,,,,,,,,,,,
78.282,5,Practice 1 - Copy 2x2,task_end,,,,,False,0.71,0,0,0.0,,,,,,,,
