t,task_idx,task_name,event_type,total_slots,action,response_latency_s,subaction,count,target,kind,snapped,remaining,expected,actual,source,correct,pasted,completed,duration_s,misplacements,correct_placements,error_rate
0.009,0,Practice 1 - Copy & Paste,task_start,3,,,,,,,,,,,,,,,,,,
26.361,0,Practice 1 - Copy & Paste,action,,Z,0.551,empty_history,,,,,,,,,,,,,,,
41.321,0,Practice 1 - Copy & Paste,panel_open,,,,,1,,,,,,,,,,,,,,
47.889,0,Practice 1 - Copy & Paste,panel_open,,,,,2,,,,,,,,,,,,,,
54.389,0,Practice 1 - Copy & Paste,action,,Z,2.04,empty_history,,,,,,,,,,,,,,,
56.278,0,Practice 1 - Copy & Paste,panel_open,,,,,3,,,,,,,,,,,,,,
63.809,0,Practice 1 - Copy & Paste,action,,drag,1.263,,,A,red,False,,,,,,,,,,,
69.999,0,Practice 1 - Copy & Paste,action,,X,0.563,no_target,,,,,,,,,,,,,,,
71.151,0,Practice 1 - Copy & Paste,action,,Z,0.564,,,,,,1,,,,,,,,,,
74.572,0,Practice 1 - Copy & Paste,panel_open,,,,,4,,,,,,,,,,,,,,
84.916,0,Practice 1 - Copy & Paste,panel_open,,,,,5,,,,,,,,,,,,,,
92.217,0,Practice 1 - Copy & Paste,action,,C,0.565,copy,,B,red,,,,,,,,,,,,
94.288,0,Practice 1 - Copy & Paste,action,,X,0.575,no_target,,,,,,,,,,,,,,,
97.81,0,Practice 1 - Copy & Paste,action,,X,0.558,,,C,red,,,,,,,,,,,,
100.206,0,Practice 1 - Copy & Paste,panel_open,,,,,6,,,,,,,,,,,,,,
102.44,0,Practice 1 - Copy & Paste,action,,Z,0.562,,,,,,1,,,,,,,,,,
104.393,0,Practice 1 - Copy & Paste,action,,C,0.559,copy,,B,red,,,,,,,,,,,,
110.002,0,Practice 1 - Copy & Paste,panel_open,,,,,7,,,,,,,,,,,,,,
115.008,0,Practice 1 - Copy & Paste,placement,,,,,,,,,,red,red,paste,True,,,,,,
