t,task_idx,task_name,event_type,total_slots,action,response_latency_s,subaction,count,target,kind,expected,actual,source,correct,pasted,snapped,remaining,completed,duration_s,misplacements,correct_placements,error_rate
0.025,0,Gate,task_start,14,,,,,,,,,,,,,,,,,,
3.656,0,Gate,action,,Z,0.737,empty_history,,,,,,,,,,,,,,,
6.335,0,Gate,panel_open,,,,,1,,,,,,,,,,,,,,
10.205,0,Gate,action,,C,0.742,copy,,A,yellow,,,,,,,,,,,,
11.677,0,Gate,action,,Z,0.755,empty_history,,,,,,,,,,,,,,,
17.113,0,Gate,placement,,,,,,,,yellow,yellow,paste,True,,,,,,,,
17.113,0,Gate,action,,C,0.725,paste,,,yellow,,,,,A',True,,,,,,
19.228,0,Gate,action,,Z,0.759,,,,,,,,,,,0,,,,,
33.013,0,Gate,action,,Z,0.763,empty_history,,,,,,,,,,,,,,,
38.134,0,Gate,action,,Z,0.755,empty_history,,,,,,,,,,,,,,,
41.407,0,Gate,action,,C,0.773,copy,,A,yellow,,,,,,,,,,,,
43.646,0,Gate,placement,,,,,,,,yellow,yellow,paste,True,,,,,,,,
43.646,0,Gate,action,,C,0.764,paste,,,yellow,,,,,A',True,,,,,,
44.995,0,Gate,placement,,,,,,,,yellow,yellow,paste,True,,,,,,,,
44.995,0,Gate,action,,C,0.767,paste,,,yellow,,,,,A',True,,,,,,
48.162,0,Gate,placement,,,,,,,,yellow,yellow,paste,True,,,,,,,,
48.162,0,Gate,action,,C,0.792,paste,,,yellow,,,,,A',True,,,,,,
53.006,0,Gate,placement,,,,,,,,yellow,yellow,paste,True,,,,,,,,
53.006,0,Gate,action,,C,0.735,paste,,,yellow,,,,,A',True,,,,,,
60.563,0,Gate,placement,,,,,,,,yellow,yellow,paste,True,,,,,,,,
60.563,0,Gate,action,,C,0.75,paste,,,yellow,,,,,A',True,,,,,,
66.001,0,Gate,action,,C,0.759,copy,,D,green,,,,,,,,,,,,
68.984,0,Gate,placement,,,,,,,,green,green,paste,True,,,,,,,,
68.984,0,Gate,action,,C,0.776,paste,,,green,,,,,D',True,,,,,,
71.974,0,Gate,placement,,,,,,,,green,green,paste,True,,,,,,,,
71.974,0,Gate,action,,C,0.761,paste,,,green,,,,,D',True,,,,,,
77.31,0,Gate,placement,,,,,,,,green,green,paste,True,,,,,,,,
77.31,0,Gate,action,,C,0.765,paste,,,green,,,,,D',True,,,,,,
