t,task_idx,task_name,event_type,total_slots,count,from_mode,to_mode,commit_latency_s,action,response_latency_s,subaction,target,kind,expected,actual,source,correct,pasted,snapped,completed,duration_s,misplacements,correct_placements,error_rate
0.019,0,Practice 1 - Copy & Paste,task_start,3,,,,,,,,,,,,,,,,,,,,
43.864,0,Practice 1 - Copy & Paste,panel_open,,1,,,,,,,,,,,,,,,,,,,
53.423,0,Practice 1 - Copy & Paste,mode_change,,,open,C,0.551,,,,,,,,,,,,,,,,
57.462,0,Practice 1 - Copy & Paste,action,,,,,,C,0.0,copy,A,red,,,,,,,,,,,
59.788,0,Practice 1 - Copy & Paste,placement,,,,,,,,,,,red,red,paste,True,,,,,,,
59.788,0,Practice 1 - Copy & Paste,action,,,,,,C,0.0,paste,,red,,,,,A',True,,,,,
63.626,0,Practice 1 - Copy & Paste,mode_change,,,C,open,0.566,,,,,,,,,,,,,,,,
65.673,0,Practice 1 - Copy & Paste,panel_open,,2,,,,,,,,,,,,,,,,,,,
67.686,0,Practice 1 - Copy & Paste,mode_change,,,open,F,0.553,,,,,,,,,,,,,,,,
70.337,0,Practice 1 - Copy & Paste,action,,13,,,,F,0.0,,,red,,,,,,,,,,,
72.108,0,Practice 1 - Copy & Paste,panel_open,,3,,,,,,,,,,,,,,,,,,,
75.462,0,Practice 1 - Copy & Paste,mode_change,,,F,C,0.566,,,,,,,,,,,,,,,,
77.198,0,Practice 1 - Copy & Paste,placement,,,,,,,,,,,red,red,paste,True,,,,,,,
77.198,0,Practice 1 - Copy & Paste,action,,,,,,C,0.0,paste,,red,,,,,A',True,,,,,
78.964,0,Practice 1 - Copy & Paste,placement,,,,,,,,,,,red,red,paste,True,,,,,,,
78.964,0,Practice 1 - Copy & Paste,action,,,,,,C,0.0,paste,,red,,,,,A',True,,,,,
79.999,0,Practice 1 - Copy & Paste,placement,,,,,,,,,,,red,red,paste,True,,,,,,,
79.999,0,Practice 1 - Copy & Paste,action,,,,,,C,0.0,paste,,red,,,,,A',True,,,,,
83.091,0,Practice 1 - Copy & Paste,mode_change,,,C,X,0.577,,,,,,,,,,,,,,,,
87.124,0,Practice 1 - Copy & Paste,action,,,,,,X,0.0,,A',red,,,,,,,,,,,
89.161,0,Practice 1 - Copy & Paste,panel_open,,4,,,,,,,,,,,,,,,,,,,
97.91,0,Practice 1 - Copy & Paste,mode_change,,,X,open,0.576,,,,,,,,,,,,,,,,
99.205,0,Practice 1 - Copy & Paste,panel_open,,5,,,,,,,,,,,,,,,,,,,
101.001,0,Practice 1 - Copy & Paste,mode_change,,,open,C,0.591,,,,,,,,,,,,,,,,
102.535,0,Practice 1 - Copy & Paste,action,,,,,,C,0.0,copy,A,red,,,,,,,,,,,
103.886,0,Practice 1 - Copy & Paste,placement,,,,,,,,,,,red,red,paste,True,,,,,,,
103.886,0,Practice 1 - Copy & Paste,action,,,,,,C,0.0,paste,,red,,,,,A',True,,,,,
104.419,0,Practice 1 - Copy & Paste,placement,,,,,,,,,,,red,red,paste,True,,,,,,,
104.419,0,Practice 1 - Copy & Paste,action,,,,,,C,0.0,paste,,red,,,,,A',True,,,,,
105.051,0,Practice 1 - Copy & Paste,placement,,,,,,,,,,,red,red,paste,True,,,,,,,
105.051,0,Practice 1 - Copy & Paste,action,,,,,,C,0.0,paste,,red,,,,,A',True,,,,,
105.051,0,Practice 1 - Copy & Paste,task_end,,,,,,,,,,,,,,,,,True,105.032,0,7,0.0
107.602,1,Practice 2 - Find + Delete + Drag,task_start,4,,,,,,,,,,,,,,,,,,,,
110.985,1,Practice 2 - Find + Delete + Drag,action,,,,,,C,0.0,empty_clipboard,,,,,,,,,,,,,
111.485,1,Practice 2 - Find + Delete + Drag,panel_open,,6,,,,,,,,,,,,,,,,,,,
111.485,1,Practice 2 - Find + Delete + Drag,action,,,,,,C,0.0,empty_clipboard,,,,,,,,,,,,,
113.764,1,Practice 2 - Find + Delete + Drag,mode_change,,,C,Z,0.617,,,,,,,,,,,,,,,,
116.922,1,Practice 2 - Find + Delete + Drag,mode_change,,,Z,C,0.596,,,,,,,,,,,,,,,,
117.298,1,Practice 2 - Find + Delete + Drag,action,,,,,,C,0.0,copy,b,red,,,,,,,,,,,
118.565,1,Practice 2 - Find + Delete + Drag,placement,,,,,,,,,,,blue,red,paste,False,,,,,,,
118.565,1,Practice 2 - Find + Delete + Drag,action,,,,,,C,0.0,paste,,red,,,,,b',True,,,,,
124.981,1,Practice 2 - Find + Delete + Drag,action,,,,,,C,0.0,paste,,red,,,,,b',False,,,,,
126.668,1,Practice 2 - Find + Delete + Drag,panel_open,,7,,,,,,,,,,,,,,,,,,,
126.668,1,Practice 2 - Find + Delete + Drag,action,,,,,,C,0.0,copy,b',red,,,,,,,,,,,
129.251,1,Practice 2 - Find + Delete + Drag,mode_change,,,C,X,0.594,,,,,,,,,,,,,,,,
130.544,1,Practice 2 - Find + Delete + Drag,action,,,,,,X,0.0,,b',red,,,,,,,,,,,
134.935,1,Practice 2 - Find + Delete + Drag,action,,,,,,X,0.0,,c,red,,,,,,,,,,,
135.185,1,Practice 2 - Find + Delete + Drag,action,,,,,,X,0.0,,d,blue,,,,,,,,,,,
138.022,1,Practice 2 - Find + Delete + Drag,panel_open,,8,,,,,,,,,,,,,,,,,,,
139.603,1,Practice 2 - Find + Delete + Drag,mode_change,,,X,open,0.604,,,,,,,,,,,,,,,,
140.67,1,Practice 2 - Find + Delete + Drag,mode_change,,,open,C,0.597,,,,,,,,,,,,,,,,
141.611,1,Practice 2 - Find + Delete + Drag,action,,,,,,C,0.0,copy,A,blue,,,,,,,,,,,
142.571,1,Practice 2 - Find + Delete + Drag,placement,,,,,,,,,,,blue,blue,paste,True,,,,,,,
142.571,1,Practice 2 - Find + Delete + Drag,action,,,,,,C,0.0,paste,,blue,,,,,A',True,,,,,
143.128,1,Practice 2 - Find + Delete + Drag,placement,,,,,,,,,,,blue,blue,paste,True,,,,,,,
143.128,1,Practice 2 - Find + Delete + Drag,action,,,,,,C,0.0,paste,,blue,,,,,A',True,,,,,
144.948,1,Practice 2 - Find + Delete + Drag,placement,,,,,,,,,,,blue,blue,paste,True,,,,,,,
144.948,1,Practice 2 - Find + Delete + Drag,action,,,,,,C,0.0,paste,,blue,,,,,A',True,,,,,
144.948,1,Practice 2 - Find + Delete + Drag,task_end,,,,,,,,,,,,,,,,,True,37.347,1,3,0.25
