t,task_idx,task_name,event_type,total_slots,count,from_mode,to_mode,commit_latency_s,action,response_latency_s,subaction,target,kind,snapped,expected,actual,source,correct,pasted,completed,duration_s,misplacements,correct_placements,error_rate,remaining
0.036,0,Gate,task_start,14,,,,,,,,,,,,,,,,,,,,,
7.007,0,Gate,panel_open,,1,,,,,,,,,,,,,,,,,,,,
10.021,0,Gate,mode_change,,,open,C,0.776,,,,,,,,,,,,,,,,,
11.931,0,Gate,action,,,,,,C,0.0,copy,D,grey,,,,,,,,,,,,
12.1,0,Gate,mode_change,,,C,Z,0.752,,,,,,,,,,,,,,,,,
20.88,0,Gate,panel_open,,2,,,,,,,,,,,,,,,,,,,,
24.583,0,Gate,mode_change,,,Z,open,0.788,,,,,,,,,,,,,,,,,
28.169,0,Gate,action,,,,,,drag,0.708,,A,yellow,False,,,,,,,,,,,
28.506,0,Gate,action,,,,,,drag,0.169,,A,yellow,False,,,,,,,,,,,
29.712,0,Gate,mode_change,,,open,Z,0.729,,,,,,,,,,,,,,,,,
32.474,0,Gate,mode_change,,,Z,C,0.743,,,,,,,,,,,,,,,,,
34.496,0,Gate,action,,,,,,C,0.0,copy,A,yellow,,,,,,,,,,,,
35.805,0,Gate,placement,,,,,,,,,,,,grey,yellow,paste,False,,,,,,,
35.805,0,Gate,action,,,,,,C,0.0,paste,,yellow,True,,,,,A',,,,,,
41.853,0,Gate,action,,,,,,C,0.0,paste,,yellow,False,,,,,A',,,,,,
46.072,0,Gate,action,,,,,,C,0.0,paste,,yellow,False,,,,,A',,,,,,
46.808,0,Gate,panel_open,,3,,,,,,,,,,,,,,,,,,,,
46.808,0,Gate,action,,,,,,C,0.0,paste,,yellow,False,,,,,A',,,,,,
48.29,0,Gate,placement,,,,,,,,,,,,yellow,yellow,paste,True,,,,,,,
48.29,0,Gate,action,,,,,,C,0.0,paste,,yellow,True,,,,,A',,,,,,
50.449,0,Gate,placement,,,,,,,,,,,,yellow,yellow,paste,True,,,,,,,
50.449,0,Gate,action,,,,,,C,0.0,paste,,yellow,True,,,,,A',,,,,,
52.294,0,Gate,placement,,,,,,,,,,,,yellow,yellow,paste,True,,,,,,,
52.294,0,Gate,action,,,,,,C,0.0,paste,,yellow,True,,,,,A',,,,,,
56.032,0,Gate,placement,,,,,,,,,,,,yellow,yellow,paste,True,,,,,,,
56.032,0,Gate,action,,,,,,C,0.0,paste,,yellow,True,,,,,A',,,,,,
57.327,0,Gate,placement,,,,,,,,,,,,yellow,yellow,paste,True,,,,,,,
57.327,0,Gate,action,,,,,,C,0.0,paste,,yellow,True,,,,,A',,,,,,
60.636,0,Gate,panel_open,,4,,,,,,,,,,,,,,,,,,,,
60.636,0,Gate,action,,,,,,C,0.0,paste,,yellow,False,,,,,A',,,,,,
63.699,0,Gate,mode_change,,,C,Z,0.797,,,,,,,,,,,,,,,,,
65.397,0,Gate,mode_change,,,Z,X,0.796,,,,,,,,,,,,,,,,,
66.705,0,Gate,action,,,,,,X,0.0,,A',yellow,,,,,,,,,,,,
75.684,0,Gate,mode_change,,,X,C,0.759,,,,,,,,,,,,,,,,,
76.706,0,Gate,action,,,,,,C,0.0,copy,F,grey,,,,,,,,,,,,
77.458,0,Gate,action,,,,,,C,0.0,copy,C,green,,,,,,,,,,,,
