t,task_idx,task_name,event_type,total_slots,action,response_latency_s,target,kind,snapped,expected,actual,source,correct,completed,duration_s,misplacements,correct_placements,error_rate
0.035,0,Gate,task_start,14,,,,,,,,,,,,,,
7.284,0,Gate,action,,drag,1.601,D,grey,False,,,,,,,,,
9.757,0,Gate,placement,,,,,,,grey,grey,drag,True,,,,,
9.757,0,Gate,action,,drag,1.142,G,grey,True,,,,,,,,,
13.359,0,Gate,placement,,,,,,,grey,grey,drag,True,,,,,
13.359,0,Gate,action,,drag,1.924,D,grey,True,,,,,,,,,
16.042,0,Gate,placement,,,,,,,grey,grey,drag,True,,,,,
16.042,0,Gate,action,,drag,1.434,J,grey,True,,,,,,,,,
20.641,0,Gate,placement,,,,,,,grey,grey,drag,True,,,,,
20.641,0,Gate,action,,drag,2.547,A,grey,True,,,,,,,,,
26.897,0,Gate,placement,,,,,,,green,green,drag,True,,,,,
26.897,0,Gate,action,,drag,2.096,E,green,True,,,,,,,,,
31.74,0,Gate,action,,drag,0.081,P,yellow,False,,,,,,,,,
34.414,0,Gate,action,,drag,1.969,K,grey,False,,,,,,,,,
37.758,0,Gate,action,,drag,1.974,H,yellow,False,,,,,,,,,
40.266,0,Gate,placement,,,,,,,yellow,yellow,drag,True,,,,,
40.266,0,Gate,action,,drag,1.951,H,yellow,True,,,,,,,,,
45.137,0,Gate,placement,,,,,,,green,green,drag,True,,,,,
45.137,0,Gate,action,,drag,2.292,F,green,True,,,,,,,,,
49.562,0,Gate,placement,,,,,,,yellow,yellow,drag,True,,,,,
49.563,0,Gate,action,,drag,1.946,B,yellow,True,,,,,,,,,
54.662,0,Gate,placement,,,,,,,yellow,yellow,drag,True,,,,,
54.662,0,Gate,action,,drag,1.608,C,yellow,True,,,,,,,,,
59.449,0,Gate,placement,,,,,,,yellow,yellow,drag,True,,,,,
59.449,0,Gate,action,,drag,3.239,B,yellow,True,,,,,,,,,
63.126,0,Gate,action,,drag,0.591,K,grey,False,,,,,,,,,
67.298,0,Gate,action,,drag,1.05,K,grey,False,,,,,,,,,
