task_idx,name,start_t,end_t,duration_s,total_slots,misplacements,correct_placements,mode_changes,action_C,action_F,action_X,action_Z,unintentional,completed,error_rate
0,Gate,0.044,11.686,11.642,14,0,0,1,0,0,0,0,0,False,0.0
2,Find Yellow,11.686,13.557,1.871,9,0,0,0,0,0,0,0,0,False,0.0
3,Find Red,13.558,14.922,1.364,13,0,0,0,0,0,0,0,0,False,0.0
2,Find Yellow,14.922,15.344,0.422,9,0,0,0,0,0,0,0,0,False,0.0
3,Find Red,15.344,15.681,0.337,13,0,0,0,0,0,0,0,0,False,0.0
4,Cleanup,15.681,16.457,0.776,10,0,0,0,0,0,0,0,0,False,0.0
5,Sunshine,16.458,17.268,0.81,9,0,0,0,0,0,0,0,0,False,0.0
2,Find Yellow,17.268,22.484,5.216,9,0,0,0,0,0,0,0,0,False,0.0
3,Find Red,22.484,25.632,3.148,13,0,0,0,0,0,0,0,0,False,0.0
2,Find Yellow,25.632,26.062,0.43,9,0,0,0,0,0,0,0,0,False,0.0
3,Find Red,26.063,26.53,0.467,13,0,0,0,0,0,0,0,0,False,0.0
2,Find Yellow,26.53,27.472,0.942,9,0,0,0,0,0,0,0,0,False,0.0
3,Find Red,27.472,28.142,0.67,13,0,0,0,0,0,0,0,0,False,0.0
2,Find Yellow,28.143,29.065,0.922,9,0,0,0,0,0,0,0,0,False,0.0
3,Find Red,29.065,29.519,0.454,13,0,0,0,0,0,0,0,0,False,0.0
2,Find Yellow,29.519,30.644,1.125,9,0,0,0,0,0,0,0,0,False,0.0
2,Find Yellow,30.644,30.954,0.31,9,0,0,0,0,0,0,0,0,False,0.0
3,Find Red,30.954,37.202,6.248,13,0,0,0,0,0,0,0,0,False,0.0
2,Find Yellow,37.203,37.609,0.406,9,0,0,0,0,0,0,0,0,False,0.0
3,Find Red,37.609,54.411,16.802,13,0,0,1,0,2,0,0,0,False,0.0
2,Find Yellow,54.411,59.916,5.505,9,0,0,0,0,0,0,0,0,False,0.0
