task_idx,name,start_t,end_t,duration_s,total_slots,misplacements,correct_placements,mode_changes,action_C,action_F,action_X,action_Z,unintentional,completed,error_rate
0,Copy: 10 per colour,0.092,32.16,32.068,40,0,1,0,0,0,0,0,0,False,0.0
1,Copy: 6 times each,32.16,34.432,2.272,24,0,0,0,0,0,0,0,0,False,0.0
2,Find: match shades,34.433,77.439,43.006,8,0,0,0,0,0,0,0,0,False,0.0
3,Delete: keep only red,77.44,90.233,12.793,9,0,1,0,0,0,0,0,0,False,0.0
4,Undo: restore blocks,90.233,95.856,5.623,25,0,0,0,0,0,0,0,0,False,0.0
4,Undo: restore blocks,95.856,97.455,1.599,25,0,0,0,0,0,0,0,0,False,0.0
3,Delete: keep only red,97.455,100.775,3.32,9,0,0,0,0,0,0,0,0,False,0.0
4,Undo: restore blocks,100.776,106.373,5.597,25,0,0,0,0,0,0,0,0,False,0.0
3,Delete: keep only red,106.373,147.671,41.298,9,0,1,1,0,0,12,0,0,False,0.0
4,Undo: restore blocks,147.671,263.951,116.28,25,0,0,1,0,0,0,14,0,False,0.0
0,Copy: 10 per colour,263.951,267.938,3.987,40,0,0,0,0,0,0,0,0,False,0.0
